ship names,ship url,journey id,captains,place start,place end,intended ending place,journey type,sources
Titus,https://portal.prizepapers.de/ship/prizepapers_ship_9c663a5e-67fa-43a1-bd61-3658a3f217ee/1/-/,01197fb8-ea3b-4cf8-a413-d63fb906ce28,"Caleb Cushing, master of the 'Titus' in 1806",Bordeaux,North Atlantic Ocean,Philadelphia,Journey interrupted by capture,[]
Neptune,https://portal.prizepapers.de/ship/prizepapers_ship_bd49a789-9185-4bff-b91c-af97397bed15/1/-/,adec6820-81f5-420c-9659-ddc1716c5c82,"Andrew Woodbury, master of the ship 'Neptune', 1794",Bordeaux,North Atlantic Ocean,Charleston,Journey interrupted by capture,[]
Falck,https://portal.prizepapers.de/ship/prizepapers_ship_f810d354-e4ab-4f82-8254-83e41f0aedcf/1/-/,c8b707c4-19df-4a35-85d9-939bb2ea9e47,"Mathies Jensen Falck, master of the ship 'Falck', 1799",Bordeaux,North Atlantic Ocean,Charleston,Journey interrupted by capture,
Massachusetts,https://portal.prizepapers.de/ship/prizepapers_ship_aa3d3dd3-fb45-488c-928d-c7537a86dc68/1/-/,d808a70d-5398-4750-91ab-45e3ec12f60b,"Joseph Pearce White, master of the ship 'Massachusetts'",Bordeaux,North Atlantic Ocean,New York City,Journey interrupted by capture,[]
Bedford,https://portal.prizepapers.de/ship/prizepapers_ship_7d55d3af-c762-4e8c-9576-65091993c2fb/1/-/,dd81c070-f065-4199-a685-0c57d06f65ff,"Bazilla Hammond, master of the ship Bedford,1795",Bordeaux,North Atlantic Ocean,New York City,Journey interrupted by capture,[]
Hazard,https://portal.prizepapers.de/ship/prizepapers_ship_e7171a41-10c4-48ff-bb7a-64bcb2c522f0/1/-/,e410362e-1ab6-4bd7-9907-a169ed3d287e,"John Drummond, master of the 'Hazard' in 1798",Bordeaux,North Atlantic Ocean,New York City,Journey interrupted by capture,[]
Anna,https://portal.prizepapers.de/ship/prizepapers_ship_12ea8a9d-5d12-493b-bade-71e7b1c3e177/1/-/,e3753c98-7425-4c90-a151-a99528b01ae5,"J Koper, master of the ship 'Anna', 1799",Bordeaux,North Atlantic Ocean,New York City,Journey interrupted by capture,[]
Hamilton,https://portal.prizepapers.de/ship/prizepapers_ship_74fbce24-42e9-4bf3-8887-4cafd636c3b8/1/-/,21e3ad49-a2b4-49af-b7a6-c6ad40223f6d,"Adam Masterton, master of the 'Hamilton' in 1805",Bordeaux,Chebucto,New York City,Journey interrupted by capture,[]
Jane,https://portal.prizepapers.de/ship/prizepapers_ship_715e73a7-04cd-4943-b586-bd2dac06f1aa/1/-/,44c6cfc6-dad4-4acf-91b4-8c34103f1fa2,"Scudder Sammis, master of the ship 'Jane', 1804",Bordeaux,North Atlantic Ocean,New York City,Journey interrupted by capture,[]
Lyon,https://portal.prizepapers.de/ship/prizepapers_ship_8d95aabb-c64a-4923-9efb-9f37110ca26b/1/-/,1c41bf10-ddca-41ac-ab1d-90aa7508c629,"Joseph Proctor, master of the ship 'Lyon', 1797",Bordeaux,North Atlantic Ocean,St Thomas,Journey interrupted by capture,[]
