ship names,ship url,journey id,captains,place start,place end,intended ending place,journey type,sources
Frederic,https://portal.prizepapers.de/ship/prizepapers_ship_0c827dbf-4598-44e8-a220-648201b778fd/1/-/,9d11e1cb-7fa3-4286-9594-862a6f6a48e7,"Carl Wirsen, master of the ship 'Frederic brig', 1804",Alicante,The Channel,Dieppe,Journey interrupted by capture,[]
Martin,https://portal.prizepapers.de/ship/prizepapers_ship_0bbf9184-f34e-4e32-99f2-b22bfba857b6/1/-/,afbb75f8-15c1-4569-a80c-05ef7f819b96,"Bradbury Saunders, master of the ship 'Martin', 1794","Gloucester, Massachusetts",Atlantic Ocean,West Indies,Journey interrupted by capture,[]
Frau Hileta,https://portal.prizepapers.de/ship/prizepapers_ship_1be5eb98-dd75-4567-9a04-909751344a9d/1/-/,5e73c36a-d31b-48a3-9f8c-9aebc4b73c11,"Carsten Hock, master of the 'Frau Hileta' in 1807",Bergen,European North Sea,Hamburg,Journey interrupted by capture,[]
Polly,https://portal.prizepapers.de/ship/prizepapers_ship_0a280a1c-a89f-4115-a456-4e189aca5c55/1/-/,6025fbfd-87d5-421c-944e-a4299700fdce,"Epes Ellery, master of the ship 'Polly', 1794","Gloucester, Massachusetts",Dominica,West Indies,Journey interrupted by capture,[]
Nyt Gedacht,https://portal.prizepapers.de/ship/prizepapers_ship_2726945c-cbd5-4516-abd6-cbdb2f2dd667/1/-/,e0d3b059-0068-444d-afdf-5d999f2efcb4,"Jan Walraave, master of the 'Nyt Gedacht' in 1799",Bergen,Great Yarmouth,,Journey interrupted by capture,[]
Henrick and Maria,https://portal.prizepapers.de/ship/prizepapers_ship_dd65afff-5165-48e7-8e97-e2b31ae8d3ef/1/-/,4db500b3-c7ce-440e-9ee5-383fe1599c80,"Johan Christian Baar, master of the ship 'Henrick and Maria', 1798",Drammen,North Sea,Amsterdam,Journey interrupted by capture,[]
Patrioten,https://portal.prizepapers.de/ship/prizepapers_ship_9dd4c80b-1608-43a8-8fb5-e7ed49939f5a/1/-/,616c7b4e-3096-4a9a-8df4-64ac6c97cfae,"Johan Wolff, master of the ship 'Patrioten', 1798",Drammen,Great Yarmouth,Edam,Journey interrupted by capture,[]
Abigail,https://portal.prizepapers.de/ship/prizepapers_ship_0eba5e49-5afa-4cd0-bf88-6b72cde96a05/1/-/,bbe60c64-db51-4552-9271-e0fdde7bded8,"Joshua Gage, master of the ship 'Abigail', 1797",Demerara,Atlantic Ocean,Boston,Journey interrupted by capture,[]
Loyalist,https://portal.prizepapers.de/ship/prizepapers_ship_4507925e-eb7a-4a82-8f56-45d0aed8f901/1/-/,1b706ff8-6fa8-4000-81ee-ef1587f09c64,"Francis Walton, master of the 'Loyalist' in 1803",Batavia,London,Amsterdam,Journey interrupted by capture,[]
Henrietta,https://portal.prizepapers.de/ship/prizepapers_ship_cc7e81af-30dc-43d3-8ca6-ea1829d8b9c6/1/-/,908373b2-2332-4383-87bf-27dddbb116c7,"Gottlieb Jager, master of the ship 'Henrietta', 1803",Batavia,North Sea,Emden,Journey interrupted by capture,[]
Margaret,https://portal.prizepapers.de/ship/prizepapers_ship_abe5762e-f83c-469a-a2b8-4f5adb2dbfd1/1/-/,9ce35b31-d167-4832-bde0-ef8d1d3055a4,"Samuel Heard, master of the ship 'Margaret', 1804",Batavia,Atlantic Ocean,"Baltimore, Maryland",Journey interrupted by capture,[]
Nancy,https://portal.prizepapers.de/ship/prizepapers_ship_32390b00-dc8e-485c-b750-102237943863/1/-/,bbc1aad6-5599-4442-a4b5-1a6489f221c6,"Jurgen Nielson Knudsen, master of the ship 'Nancy', 1798",Jakarta,The Channel,Copenhagen,Journey interrupted by capture,[]
Graf Bernstorff,https://portal.prizepapers.de/ship/prizepapers_ship_a6dc93eb-c9c5-4571-8568-c1f87688e2d7/1/-/,cf284c24-8c28-4261-9500-e302316374df,"Gerrit Belmer, master of the ship 'Graf Bernstorff', 1799",Batavia,The Channel,Copenhagen,Journey interrupted by capture,[]
Faedrelanded,https://portal.prizepapers.de/ship/prizepapers_ship_ea877b1d-8fde-4189-ac32-579a23472e1f/1/-/,331d2029-198d-4f8f-bfb5-53e5789e89f6,"Geerdt Hoop, master of the ship 'Faedrelanded', 1800",Batavia,North Sea,Copenhagen,Journey interrupted by capture,[]
Holger Danske,https://portal.prizepapers.de/ship/prizepapers_ship_f392c9cb-3d25-448f-b39f-d550da47bf05/1/-/,42db64e1-96b4-4fe1-9ad9-b80c17d42aff,"Hans Laurens Smit, master of the ship 'Holger Danske', 1799",Batavia,North Sea,Copenhagen,Journey interrupted by capture,[]
Catharina Maria,https://portal.prizepapers.de/ship/prizepapers_ship_0de312f6-29db-4caa-9573-b979121b9bee/1/-/,a55f0f22-fa0e-4737-9e01-374a14075a7f,"Morten Hendrick Romdahl, master of the ship 'Catharina Maria', 1799",Batavia,North Sea,Copenhagen,Journey interrupted by capture,[]
Sally,https://portal.prizepapers.de/ship/prizepapers_ship_470341d2-f716-4894-ad10-d77a6739b488/1/-/,02e71bd3-e7ea-4389-a2ff-68f6b984c9f6,"John Dorson, master of the ship 'Sally', 1800",Batavia,North Atlantic Ocean,Philadelphia,Journey interrupted by capture,[]
Amsterdam Packet,https://portal.prizepapers.de/ship/prizepapers_ship_079f89c4-c222-467b-9a93-386354beccef/1/-/,0cad6de1-8ef9-418a-91eb-a68d967255de,"John Smith, master of the ship 'Amsterdam Packet', 1805",Batavia,North Atlantic Ocean,Philadelphia,Journey interrupted by capture,[]
Manhattan,https://portal.prizepapers.de/ship/prizepapers_ship_f274a6f4-2c42-438b-af6f-0ff01847c1a8/1/-/,f2a00f8b-38be-4929-b181-f210d46b4582,"John Bender Lasker, master of the 'Manhattan' in 1805",Batavia,North Atlantic Ocean,New York City,Journey interrupted by capture,[]
John Jay,https://portal.prizepapers.de/ship/prizepapers_ship_8a656bc8-5418-4c31-927b-5a693c55fb26/1/-/,59696dc2-4a41-4cc7-b2d0-115fd51d12aa,"John Flagg Fry, master of the 'John Jay' in 1806",Batavia,North Atlantic Ocean,Providence,Journey interrupted by capture,[]
Reemsdyke,https://portal.prizepapers.de/ship/prizepapers_ship_8339ac8c-6fe8-40f4-afb7-6e6101f037c0/1/-/,65fbbbd2-5c96-4011-9e5f-9658fcfbdc5e,"Jonathan Aborns, master of the ship 'Reemsdyke', 1797",Batavia,Tortola,Rhode Island,Journey interrupted by capture,[]
Atalanta,https://portal.prizepapers.de/ship/prizepapers_ship_0300a61c-7b79-46af-946b-1103b272925c/1/-/,aad02c7b-74da-46a9-b085-15a3f2fe5145,"Henrick Klein, master of the 'Atalanta' in 1807",Batavia,The Channel,Bremen,Journey interrupted by capture,[]
Lydia,https://portal.prizepapers.de/ship/prizepapers_ship_6e10d7d4-be6a-451a-b5d1-12d272366c0e/1/-/,247db34f-ccfa-4bef-9fcd-bcafc3efb750,"Abraham Waters, master of the 'Lydia' in 1796",Charleston,Atlantic Ocean,"Aux Cayes, Saint Domingue",Journey interrupted by capture,[]
Venus,https://portal.prizepapers.de/ship/prizepapers_ship_60f2a800-55ee-4df3-b911-e883fc7d1e00/1/-/,55243d4f-bd02-49fa-b823-c6a79c994563,"Aaron Oakford, master of the ship 'Venus', 1803",Charleston,Chebucto,Bordeaux,Journey interrupted by capture,[]
John,https://portal.prizepapers.de/ship/prizepapers_ship_62ca632f-7aab-4c57-a7fd-f02dc7703118/1/-/,5cb60fb4-c6b8-415b-8234-c9b0411d2a48,"Richard Barker, master of the ship 'John', 1800",Charleston,Atlantic Ocean,Cádiz,Journey interrupted by capture,[]
Rising Hope,https://portal.prizepapers.de/ship/prizepapers_ship_2a179a0a-8827-4ffa-a3b1-9e01850c5c40/1/-/,b9846c46-edf6-435c-8b7d-980583123edb,"Whitefield Withrell, master of the ship 'Rising Hope', 1804",Charleston,Bermuda,Cádiz,Journey interrupted by capture,[]
Ann,https://portal.prizepapers.de/ship/prizepapers_ship_79ed04a9-e7d3-4889-b315-b01955381e30/1/-/,b881b03c-6001-430f-a1ff-09a207c67a0a,"William Ireland, master of the 'Ann' in 1813",Charleston,Gibraltar,Cádiz,Journey interrupted by capture,[]
Fernando Septimo,https://portal.prizepapers.de/ship/prizepapers_ship_1ce53149-e123-4330-ad9d-4322d178b9f9/1/-/,47515c39-d902-4f59-8aa5-ce4b2f9b7bd2,"Juan Santos De Murrieta, master of the ship 'Fernando Septimo', 1804",Charleston,Atlantic Ocean,Cádiz,Journey interrupted by capture,[]
Hindostan,https://portal.prizepapers.de/ship/prizepapers_ship_adb24419-f633-4a7c-8866-01d1e1768df3/1/-/,fa7c42a1-c37e-4c2b-b2b3-0228d879aa3d,"Benjamin Cozens, master of the ship 'Hindostan', 1804",Charleston,Atlantic Ocean,Cádiz,Journey interrupted by capture,[]
Mercury,https://portal.prizepapers.de/ship/prizepapers_ship_1e22de63-4c49-483b-bb93-0148db771b74/1/-/,25c3a00a-aa01-4941-a29c-0b7dbc4a8609,"Robert Roberts, master of the ship 'Mercury', 1797",Charleston,Atlantic Ocean,Hamburg,Journey interrupted by capture,[]
Thomas,https://portal.prizepapers.de/ship/prizepapers_ship_24515f1d-062f-410e-916e-5c3b8116a971/1/-/,15b19848-d26a-4ac8-802c-2230d75cb4d1,"Charles Bishop, master of the ship 'Thomas'",Charleston,Jamaica,Havana,Journey interrupted by capture,[]
Harmony,https://portal.prizepapers.de/ship/prizepapers_ship_298f251c-1a4f-4829-ab84-60a0e56144f8/1/-/,0003c575-1d11-449b-b9b2-835d3f91c1ac,"Peter Mulder, master of the ship 'Harmony', 1798",Charleston,Atlantic Ocean,Havana,Journey interrupted by capture,[]
Betsey,https://portal.prizepapers.de/ship/prizepapers_ship_3493caa4-e8c3-404b-841e-c82aa41a7618/1/-/,15316fbc-9e85-4f99-a10f-7dfa49362753,"Samuel Cameron, master of the 'Betsey' in 1799",Charleston,Atlantic Ocean,Havana,Journey interrupted by capture,[]
Betsey,https://portal.prizepapers.de/ship/prizepapers_ship_9e8e71fb-2484-440d-956c-a938ac88aff5/1/-/,5c91bd6c-366a-4f09-b209-a4acb44c9383,"John Hands, master of the ""Betsey"" in 1799",Charleston,Atlantic Ocean,Havana,Journey interrupted by capture,[]
Washington,https://portal.prizepapers.de/ship/prizepapers_ship_e68a1703-05e3-4a9f-8412-d8a3b3c64d0b/1/-/,3909ba8e-2cef-4647-a0fb-8943e1048cfb,"Oliver Fuller, master of the 'Washington' in 1801",Charleston,New Providence,Havana,Journey interrupted by capture,[]
Mary,https://portal.prizepapers.de/ship/prizepapers_ship_ecdd87eb-0a1e-4050-b8f7-e3095beaf24c/1/-/,7cdbdf77-d7c9-42f3-a5de-b4e3bb187b80,"Gilbert Fuller, master of the 'Mary' in 1807",Charleston,Atlantic Ocean,La Guaira,Journey interrupted by capture,[]
Penelope,https://portal.prizepapers.de/ship/prizepapers_ship_fce1f054-55c2-4d6e-86b2-75b11c8088cf/1/-/,0d2e0d26-10ca-469d-a9b1-6a84101fd628,"William Flagg, master of the ship 'Penelope', 1798",Charleston,Chebucto,Málaga,Journey interrupted by capture,[]
Kate,https://portal.prizepapers.de/ship/prizepapers_ship_b9be8585-2b7f-4e2a-8ab7-0ea55a1b7231/1/-/,35798b0d-e726-4f32-9fb8-bbed2cb3a04e,"William Crocker, master of the 'Kate' in 1794",Charleston,Atlantic Ocean,Martinique,Journey interrupted by capture,[]
Neptune,https://portal.prizepapers.de/ship/prizepapers_ship_1d2903e8-b468-41a8-b596-94504d2337aa/1/-/,0f558ab6-38b4-4539-a8d0-46ba30f08f12,"Edward Staples, master of the ship 'Neptune', 1794",Charleston,Montserrat,West Indies,Journey interrupted by capture,[]
Hawke,https://portal.prizepapers.de/ship/prizepapers_ship_6d425dc1-4517-485e-9cf4-8bbbaebdb342/1/-/,c49236f9-31a6-46a3-8332-7081c8012980,"Cornelius Dunham, master of the ship 'Hawke', 1794",Charleston,Atlantic Ocean,West Indies,Journey interrupted by capture,[]
Manley,https://portal.prizepapers.de/ship/prizepapers_ship_2d4592fa-b5ec-4086-943e-a4c2447cb458/1/-/,b01466cc-cd77-4bf1-8b51-dd6b94b1ec78,"Matthias Hansen, master of the ship 'Manley', 1804",Christiansand,European North Sea,Leith,Journey interrupted by capture,[]
Fortuna,https://portal.prizepapers.de/ship/prizepapers_ship_2d9ba1ea-ce8d-4746-84ac-8df60c0fab22/1/-/,aa4182b4-f79b-4364-a36e-6b640d9f8247,"Jens Hansen Guldager, master of the ship 'Fortuna', 1797",Benicarlo,Mediterranean Sea,Texel,Journey interrupted by capture,[]
Fortuna,https://portal.prizepapers.de/ship/prizepapers_ship_bde2b616-b4c2-4590-8fac-7be6895ea19f/1/-/,38dcfdb8-de27-4a30-b2c1-6edb893401d1,"Jens Hansen Guldager, master of the ship 'Fortuna', 1797",Benicarlo,Atlantic Ocean,Texel,Journey interrupted by capture,
Fortuna,https://portal.prizepapers.de/ship/prizepapers_ship_67d06328-43f6-4f66-98e4-4169c3f0ffdf/1/-/,da0fed89-66f4-4fe2-87b7-b51e857e1c34,"Jens Hansen Guldager, master of the ship 'Fortuna', 1797",Benicarlo,Atlantic Ocean,Texel,Journey interrupted by capture,
Penelope,https://portal.prizepapers.de/ship/prizepapers_ship_3fda2792-d760-4be3-98c4-6f8d0b34cba3/1/-/,587b718b-7653-4c1a-b949-27bae8ce4fb2,"William Groom, master of the ship 'Penelope', 1800",Curaçao,Jamaica,"Baltimore, Maryland",Journey interrupted by capture,[]
Concord,https://portal.prizepapers.de/ship/prizepapers_ship_427a5f02-dc60-4f60-bb7b-2931091810d7/1/-/,24cc1240-1f7f-4794-bf37-01e90553da39,"Henry Wannell, master of the 'Concord' in 1806",Curaçao,Caribbean Sea,"Baltimore, Maryland",Journey interrupted by capture,[]
Penelope,https://portal.prizepapers.de/ship/prizepapers_ship_9022f707-bb0b-44eb-9392-658b210c599f/1/-/,0e0b8173-6d73-4111-bab4-ee2faa097b99,"William Groom, master of the ship 'Penelope', 1800",Curaçao,Atlantic Ocean,"Baltimore, Maryland",Journey interrupted by capture,
Harmony,https://portal.prizepapers.de/ship/prizepapers_ship_1b9872b4-5ab8-47d8-b7cf-5c33031eed8e/1/-/,7dcd4d39-082f-4829-8cae-8eda6e4d77f2,"Walter Midlin, master of the ship 'Harmony schooner', 1804",Curaçao,Caribbean Sea,Philadelphia,Journey interrupted by capture,[]
Volunteer,https://portal.prizepapers.de/ship/prizepapers_ship_82302b02-7864-4a8e-9d6c-b2f387493749/1/-/,235af16b-fb45-4449-8e2a-75af31a5fa62,"John P Morris, master of the ship 'Volunteer', 1805",Curaçao,Atlantic Ocean,New York City,Journey interrupted by capture,[]
Mildford,https://portal.prizepapers.de/ship/prizepapers_ship_0325ba07-ce59-410c-93e8-8be7cd98653b/1/-/,6bbd6b23-d264-4815-b136-fd69d557836e,"John McNamara, master of the ship 'Mildford or Milford schooner', 1804",Curaçao,Caribbean Sea,Alexandria (North America),Journey interrupted by capture,[]
Peter,https://portal.prizepapers.de/ship/prizepapers_ship_0d036c73-d13a-4c37-ba88-c9334bbd4e1e/1/-/,ecf4bce1-4707-4cfc-ab2f-96a296f0610d,"George Smith, master of the ship 'Peter', 1798",Cumana,Tortola,St Croix,Journey interrupted by capture,[]
Johanna Louisa,https://portal.prizepapers.de/ship/prizepapers_ship_91f6a268-aeb8-4511-b373-bca18e40ce01/1/-/,36644287-ba94-4dc5-9e74-ab976b74c1d2,"Peter Jensen Giese, master of the ship 'Johanna Louisa', 1797",Salou,Mediterranean Sea,Altona,Journey interrupted by capture,[]
Drie Gesusters,https://portal.prizepapers.de/ship/prizepapers_ship_62dc0764-ecaa-4d45-b074-83a575b81d9c/1/-/,9017b4f9-6127-43d2-8c00-b5fb01ce3ea9,"Dirk Claasen De Jongh, master of the ship 'Drie Gesusters', 1797",Dordrecht,North Atlantic Ocean,Barcelona,Journey interrupted by capture,[]
Jupiter,https://portal.prizepapers.de/ship/prizepapers_ship_e3932e68-0f5a-47c4-bb74-3cb0ae13ab70/1/-/,8b18078d-f4c4-4b5d-ba09-cc838fa6237f,"Jost Vander Waal, master of the 'Jupiter' in 1796",Dordrecht,North Atlantic Ocean,Barcelona,Journey interrupted by capture,[]
Caroline,https://portal.prizepapers.de/ship/prizepapers_ship_69988dd0-eb16-403d-9dbe-06afa3de9f6b/1/-/,5a2372b2-7f4b-424f-a7ab-44508ebdf171,"John Partridge, master of the ship ""Caroline"", 1805",Cuba,New Providence,Boston,Journey interrupted by capture,"[['https://hdl.handle.net/428894.vzg/prizepapers_document/7f63d95a-fa14-416a-b5d6-3e7ff74e991e', 'HCA 45/60/8']]"
Jupiter,https://portal.prizepapers.de/ship/prizepapers_ship_61195e18-5cda-424e-b9c6-fbc13f2e3ccf/1/-/,f074d9cb-8b00-425c-89ea-9e1217954d13,,Dordrecht,North Atlantic Ocean,Barcelona,Journey interrupted by capture,
Industry,https://portal.prizepapers.de/ship/prizepapers_ship_16926ac5-3ef5-40f6-9344-f7907289d500/1/-/,4764e6e9-ffb8-4fad-9175-b40d0c4d19f5,"Peter Rundsten, master of the ship 'Industry', 1798",Dordrecht,North Atlantic Ocean,Barcelona,Journey interrupted by capture,[]
Anna Sophia,https://portal.prizepapers.de/ship/prizepapers_ship_50398e1a-d9b3-4427-b67b-95c556aaba22/1/-/,93137b2e-8a6c-413b-b819-53e07baf1de7,"Daniel Henrich Wilcken, master of the 'Anna Sophia' in 1800",Salou,Mahon,Hamburg,Journey interrupted by capture,[]
Industry,https://portal.prizepapers.de/ship/prizepapers_ship_b7276fec-2d22-4a9d-898c-1f75e678aad8/1/-/,46db1036-6dc7-479b-9b26-57ae160397ec,"Peter Rundsten, master of the ship 'Industry', 1798",Dordrecht,North Atlantic Ocean,Barcelona,Journey interrupted by capture,
Maria,https://portal.prizepapers.de/ship/prizepapers_ship_faf8534e-5727-4a4b-887d-f5f0405c7f51/1/-/,17a79b9f-ec9b-4839-9990-698bf4947864,"Matthias Soderberg, master of the 'Maria' in 1800",Salou,Minorca,Porto,Journey interrupted by capture,[]
Jacob Zacharias e Tre Sostre,https://portal.prizepapers.de/ship/prizepapers_ship_d0adb0ae-ea10-43ef-9229-97328d4ed696/1/-/,3efbb55d-dbfc-4c5e-aa92-c424bf1a6ae6,"Jens Kaak, master of the 'Jacob Zacharias e Tre Sostre ', 1799",XXX,North Atlantic Ocean,Amsterdam,Journey interrupted by capture,[]
Huismans Welvaart,https://portal.prizepapers.de/ship/prizepapers_ship_c83f3c67-79e2-47d1-bd7d-a8f28599448f/1/-/,5536b8a4-2941-4650-a7ba-e0125a68d8a7,"Henrick Jansen, master of the 'Huismans Welvaart' in 1798",Elbląg,Great Yarmouth,Holland,Journey interrupted by capture,[]
Veranderung,https://portal.prizepapers.de/ship/prizepapers_ship_cde2c821-c120-45f0-9682-528f3a19d95a/1/-/,4a2b16b5-ac39-4192-9870-1e31a38fb7c6,"Bernard De La Haye, master of the ship 'Veranderung', 1798 and ""Archduc Leopold"" 1794",Salou,Gibraltar,Bergen,Journey interrupted by capture,[]
City of Smyrna,https://portal.prizepapers.de/ship/prizepapers_ship_2a66a36b-04d6-4b20-aa22-7018a1ef5ecc/1/-/,73fda547-a867-46b7-b601-9c87fc155d97,"Theodoro Basilio Gini, master of the ship 'City of Smyrna', 1798",Salou,Mediterranean Sea,Porto,Journey interrupted by capture,[]
Minerva,https://portal.prizepapers.de/ship/prizepapers_ship_43dc1803-4d3d-47b1-b181-3972c1809b9c/1/-/,c890a470-638c-4a2c-bf4a-badceecd2467,,,,,Journey interrupted by capture,
Nancy,https://portal.prizepapers.de/ship/prizepapers_ship_f1368db5-dd65-4eb7-bac3-d88ec7f74265/1/-/,bd9a1005-9dbd-47bb-b9d8-68df85df771a,"Park Benjamin, master of the ship 'Nancy', 1796",Essequibo,North Atlantic Ocean,Hamburg,Journey interrupted by capture,[]
Flor de Mar,https://portal.prizepapers.de/ship/prizepapers_ship_b4c97221-875e-4c70-88bd-17e15c4d09e8/1/-/,324c00fd-d2d7-414f-abf4-77a5da7015eb,"Joaquim Jose Nunes De Carvalho, master of the ship 'Flor de Mar', 1804",,North Atlantic Ocean,Boston,Journey interrupted by capture,[]
Neptunus,https://portal.prizepapers.de/ship/prizepapers_ship_5c377299-0d7b-48cc-8528-c91b55f07844/1/-/,ec27651a-76d6-432f-8157-548fe9f2a0d0,"Zacharias Ervast, master of the 'Neptunus' in 1800",Baltic Sea,Portsmouth,Leghorn Roads (Livorno),Journey interrupted by capture,[]
Cawder Bux,https://portal.prizepapers.de/ship/prizepapers_ship_a6b5a6d3-827c-410a-a264-17f4930fbdec/1/-/,a2ba3d5a-9ffd-4cc4-be0c-433d516652aa,"Chinna Bauboo, master of the ship 'Cawder Bux', 1804",Jeddah,Bay of Bengal,Cuddalore,Journey interrupted by capture,[]
New Adventure,https://portal.prizepapers.de/ship/prizepapers_ship_b3bca586-6f74-4d3b-b66f-e2bdb5810884/1/-/,3c76e829-021d-4d30-8b83-8366639d2199,"George Shearman, master of the ship 'New Adventure', 1798",Goree,New Providence,Havana,Journey interrupted by capture,[]
Catharina Maria,https://portal.prizepapers.de/ship/prizepapers_ship_2fa09ef2-5436-4b7f-a57b-560553d01cb6/1/-/,5174c53f-6919-440e-9648-fa261b2e0d11,"Joachim Rabe, master of the 'Catharina Maria' in 1797",Harlingen,North Atlantic Ocean,Barcelona,Journey interrupted by capture,[]
Argus,https://portal.prizepapers.de/ship/prizepapers_ship_f5b84a62-cdf6-4c8c-8c4d-da85e2dbb32d/1/-/,6b27d4b6-3d8d-4c9e-8fd6-4317c176a976,"Richard Fanning, master of the ship 'Argus', 1796",Le Havre,North Atlantic Ocean,New York City,Journey interrupted by capture,[]
Baltic,https://portal.prizepapers.de/ship/prizepapers_ship_643729ac-2421-4d91-9f75-5fd02cd40d0e/1/-/,2277617c-b68b-4b1a-9613-0d81367f2d56,"Andrew Donaldson, master of the ship 'Baltic', 1807",Réunion,Atlantic Ocean,Philadelphia,Journey interrupted by capture,[]
Elizabeth,https://portal.prizepapers.de/ship/prizepapers_ship_b74f1b1e-0670-43a7-ba7e-ea25abae1b5b/1/-/,bd0ea7e6-c19e-4470-bee3-0e7f04cae25d,"Clas Ropers, master of the ship 'Elizabeth', 1799",Isle de France,European North Sea,Hamburg,Journey interrupted by capture,[]
Rosalia,https://portal.prizepapers.de/ship/prizepapers_ship_81199fa4-aa2c-4f6d-ab0b-318457f64cb2/1/-/,fc24bd4f-37c8-46d6-a5c9-8efc928aa5dc,"Johan Lass, master of the ship 'Rosalia', 2020",Isle de France,Margate,Hamburg,Journey interrupted by capture,[]
Calypso,https://portal.prizepapers.de/ship/prizepapers_ship_d5263424-e023-405b-b668-fa79838fd5f4/1/-/,61e7ef52-c81f-4394-b1aa-1177f94902a4,"Hugh Davey, master of the 'Calypso' in 1806",Isle de France,Colombo,Colombo,Journey interrupted by capture,[]
Merchant,https://portal.prizepapers.de/ship/prizepapers_ship_3aa3b1fe-246b-4685-9b24-c580e581d4e3/1/-/,14b78f4f-e087-48c9-b568-fb53d587ffe6,"Joseph Wyer, master of the 'Merchant' in 1805",Réunion,Barbados,New York City,Journey interrupted by capture,[]
Equality,https://portal.prizepapers.de/ship/prizepapers_ship_712d1a86-55d6-4460-9961-ef406dc43d8d/1/-/,4b4ffcfa-f1e2-4f6e-b47a-6f59464fbc1e,"Thomas Sprigg, master of the 'Equality' in 1796",Isle de France,Chebucto,"Baltimore, Maryland",Journey interrupted by capture,[]
Amabile,https://portal.prizepapers.de/ship/prizepapers_ship_92bffc2a-fdda-424c-b5a7-c5e4f256af15/1/-/,05645006-dd30-4d65-8a92-18899b2541e0,"Mark Franceschi, master of the ship 'Amabile', 1800",Salou,Mediterranean Sea,Leghorn,Journey interrupted by capture,[]
Liberty,https://portal.prizepapers.de/ship/prizepapers_ship_bd45f2af-7ba7-4de6-958b-3bbca67940e0/1/-/,dfc3d32e-e9c7-42ca-b67a-0d55ff11621f,"Jonathan Lambert, master of the ship 'Liberty brig', 1804",Isle de France,Indian Ocean,Surat (India),Journey interrupted by capture,[]
Caroline,https://portal.prizepapers.de/ship/prizepapers_ship_8ecb87d9-a9b6-442a-b742-8a20a1843999/1/-/,cede3293-2a14-434b-bada-ce782040854b,"Christian Andreas Amle, master of the ship 'Caroline', 1804",Naples,Mediterranean Sea,London,Journey interrupted by capture,[]
James and William,https://portal.prizepapers.de/ship/prizepapers_ship_fd2671fe-9669-472e-adc6-7acc23bae87c/1/-/,73b461c0-7f7c-48b9-9130-f67490cc4673,"Philip Pollard, master of the 'James and William' in 1805",Isle de France,Bermuda,Portsmouth (New Hampshire),Journey interrupted by capture,[]
Syren,https://portal.prizepapers.de/ship/prizepapers_ship_e081f10f-ea13-4e17-81a2-e877734c662f/1/-/,3acade94-ecdb-455a-9711-28fdf3fc8559,"Henry Bradford, master of the ship 'Syren', 1804",Naples,Malta,Lisbon,Journey interrupted by capture,[]
Maria Elizabeth,https://portal.prizepapers.de/ship/prizepapers_ship_a982225c-1e2b-4310-b45d-7ced69cb6d2f/1/-/,ed1681fd-e189-4a5f-ba44-13604cad17ba,"Charles Frederick Wickman, master of the ship 'Maria Elizabeth', 1800",Naples,Mediterranean Sea,Emden,Journey interrupted by capture,[]
James and William,https://portal.prizepapers.de/ship/prizepapers_ship_60560fa3-34a6-4f25-8c45-0dcf01a6681f/1/-/,f0540fb0-9aa3-4f16-8529-4fafcbe1b0f6,"Philip Pollard, master of the ship 'James and William',",Isle de France,Atlantic Ocean,Portsmouth (New Hampshire),Journey interrupted by capture,
Constantia,https://portal.prizepapers.de/ship/prizepapers_ship_d37caedb-c1d5-4fe8-bf00-4528f26193bc/1/-/,4c7cd670-f1de-4825-b675-859cd0190024,"Christian Pederson, master of the ship 'Constantia', 1804",Naples,Mediterranean Sea,Cagliari,Journey interrupted by capture,[]
James and William,https://portal.prizepapers.de/ship/prizepapers_ship_5f209c7b-924e-455f-b73e-7571f87ce1fd/1/-/,e6f1f172-c5e6-49b1-9bfc-09412ae385e4,"Philip Pollard, master of the ship 'James and William',",Isle de France,North Atlantic Ocean,Portsmouth (New Hampshire),Journey interrupted by capture,
James and William,https://portal.prizepapers.de/ship/prizepapers_ship_e5f5488f-b4c1-49e9-87e9-0c779839349c/1/-/,afc3c112-8394-4e91-94d5-c225d9850177,"Philip Pollard, master of the ship 'James and William',",Isle de France,North Atlantic Ocean,Portsmouth (New Hampshire),Journey interrupted by capture,
James and William,https://portal.prizepapers.de/ship/prizepapers_ship_de7993c0-c81a-4f22-8f01-ee620062be76/1/-/,27926eda-4ab4-4d73-b4a2-4f7aced8043f,"Philip Pollard, master of the ship 'James and William',",Isle de France,North Atlantic Ocean,Portsmouth (New Hampshire),Journey interrupted by capture,
Santissima Crocifisso,https://portal.prizepapers.de/ship/prizepapers_ship_b7bc96b9-9c16-4858-a57b-cafea970dd42/1/-/,a0b0cb6d-c550-4326-98e0-2e7261501ad7,"Luca Fienga, master of the ship 'Santissima Crocifisso', 1804",Naples,Malta,Tunis,Journey interrupted by capture,[]
Adeline,https://portal.prizepapers.de/ship/prizepapers_ship_e4f84139-d474-4e36-875b-5c838b8cdc7e/1/-/,535496d1-1c39-414e-af45-3596858ebfa3,"Bartlet Shepard, master of the Adeline in 1805",Guadeloupe,North Atlantic Ocean,New York City,Journey interrupted by capture,[]
Marbuck,https://portal.prizepapers.de/ship/prizepapers_ship_81b31631-0d9a-4389-bd2a-b813f887be96/1/-/,1b0dd95f-c720-4552-99b4-0b07a4da49b7,"Rais Ali Liergisa, master of the ship 'Marbuck', 1804",Naples,Mediterranean Sea,Tunis,Journey interrupted by capture,[]
