Title	Creator	Date Searchable	Date	Call Number	Description	Notes	Subjects	Form/Genre	Contributor	Physical Collection	Physical Sub-Collection	Part of Object	Catalog Link	Rights	Digital Collection	Digitization Specifications	Date Digitized	Cataloger	Project Administrator	Unique Digital Identifier	Object File Name	Reference URL	IIIF Object Manifest Link	IIIF Page Manifest Link	IIIF Page Image Manifest Link
p. 208		1719; 1720	5 Oct 1720	"mssST 57, v. 17"	"Correspondent: Brinsdall, (Mr)."					"Stowe papers, 1175-1919 (bulk 1600-1900)."		Volume 17 of ST 57		"For information on using Huntington Library materials, please see Reproductions of Huntington Library Holdings: https://www.huntington.org/library-rights-permissions"	Stowe Papers	High resolution	2022:09:25	B. Black ; M. Einaudi	V. Wilkie	1096076	mssST_57_v17_214.tif	http://cdm16003.contentdm.oclc.org/cdm/ref/collection/p16003coll20/id/213		http://cdm16003.contentdm.oclc.org/iiif/p16003coll20:213/manifest.json	http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/213/full/full/0/default.jpg
p. 209		1719; 1720	6 Oct 1720	"mssST 57, v. 17"	Correspondent: Harley (Aud'r).					"Stowe papers, 1175-1919 (bulk 1600-1900)."		Volume 17 of ST 57		"For information on using Huntington Library materials, please see Reproductions of Huntington Library Holdings: https://www.huntington.org/library-rights-permissions"	Stowe Papers	High resolution	2022:09:25	B. Black ; M. Einaudi	V. Wilkie	1096077	mssST_57_v17_215.tif	http://cdm16003.contentdm.oclc.org/cdm/ref/collection/p16003coll20/id/214		http://cdm16003.contentdm.oclc.org/iiif/p16003coll20:214/manifest.json	http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/214/full/full/0/default.jpg
p. 210		1719; 1720	6 Oct 1720	"mssST 57, v. 17"	"Correspondent: Woodhouse, Mr Fra."					"Stowe papers, 1175-1919 (bulk 1600-1900)."		Volume 17 of ST 57		"For information on using Huntington Library materials, please see Reproductions of Huntington Library Holdings: https://www.huntington.org/library-rights-permissions"	Stowe Papers	High resolution	2022:09:25	B. Black ; M. Einaudi	V. Wilkie	1096078	mssST_57_v17_216.tif	http://cdm16003.contentdm.oclc.org/cdm/ref/collection/p16003coll20/id/215		http://cdm16003.contentdm.oclc.org/iiif/p16003coll20:215/manifest.json	http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/215/full/full/0/default.jpg
p. 211		1719; 1720		"mssST 57, v. 17"						"Stowe papers, 1175-1919 (bulk 1600-1900)."		Volume 17 of ST 57		"For information on using Huntington Library materials, please see Reproductions of Huntington Library Holdings: https://www.huntington.org/library-rights-permissions"	Stowe Papers	High resolution	2022:09:25	B. Black ; M. Einaudi	V. Wilkie	1096079	mssST_57_v17_217.tif	http://cdm16003.contentdm.oclc.org/cdm/ref/collection/p16003coll20/id/216		http://cdm16003.contentdm.oclc.org/iiif/p16003coll20:216/manifest.json	http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/216/full/full/0/default.jpg
p. 212		1719; 1720	6 Oct 1720 ; 7 Oct 1720	"mssST 57, v. 17"	"Correspondents: Gooch (Dr) ; Withers, Wm."					"Stowe papers, 1175-1919 (bulk 1600-1900)."		Volume 17 of ST 57		"For information on using Huntington Library materials, please see Reproductions of Huntington Library Holdings: https://www.huntington.org/library-rights-permissions"	Stowe Papers	High resolution	2022:09:25	B. Black ; M. Einaudi	V. Wilkie	1096080	mssST_57_v17_218.tif	http://cdm16003.contentdm.oclc.org/cdm/ref/collection/p16003coll20/id/217		http://cdm16003.contentdm.oclc.org/iiif/p16003coll20:217/manifest.json	http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/217/full/full/0/default.jpg
p. 213		1719; 1720	7 Sep 1720	"mssST 57, v. 17"	"Correspondent: Londdell, Mr."					"Stowe papers, 1175-1919 (bulk 1600-1900)."		Volume 17 of ST 57		"For information on using Huntington Library materials, please see Reproductions of Huntington Library Holdings: https://www.huntington.org/library-rights-permissions"	Stowe Papers	High resolution	2022:09:25	B. Black ; M. Einaudi	V. Wilkie	1096081	mssST_57_v17_219.tif	http://cdm16003.contentdm.oclc.org/cdm/ref/collection/p16003coll20/id/218		http://cdm16003.contentdm.oclc.org/iiif/p16003coll20:218/manifest.json	http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/218/full/full/0/default.jpg
p. 214		1719; 1720	7 Oct 1720	"mssST 57, v. 17"	Correspondent: Bath & Wells.					"Stowe papers, 1175-1919 (bulk 1600-1900)."		Volume 17 of ST 57		"For information on using Huntington Library materials, please see Reproductions of Huntington Library Holdings: https://www.huntington.org/library-rights-permissions"	Stowe Papers	High resolution	2022:09:25	B. Black ; M. Einaudi	V. Wilkie	1096082	mssST_57_v17_220.tif	http://cdm16003.contentdm.oclc.org/cdm/ref/collection/p16003coll20/id/219		http://cdm16003.contentdm.oclc.org/iiif/p16003coll20:219/manifest.json	http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/219/full/full/0/default.jpg
p. 214 (sic)		1719; 1720		"mssST 57, v. 17"						"Stowe papers, 1175-1919 (bulk 1600-1900)."		Volume 17 of ST 57		"For information on using Huntington Library materials, please see Reproductions of Huntington Library Holdings: https://www.huntington.org/library-rights-permissions"	Stowe Papers	High resolution	2022:09:25	B. Black ; M. Einaudi	V. Wilkie	1096083	mssST_57_v17_221.tif	http://cdm16003.contentdm.oclc.org/cdm/ref/collection/p16003coll20/id/220		http://cdm16003.contentdm.oclc.org/iiif/p16003coll20:220/manifest.json	http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/220/full/full/0/default.jpg
p. 214 (sic)		1719; 1720		"mssST 57, v. 17"						"Stowe papers, 1175-1919 (bulk 1600-1900)."		Volume 17 of ST 57		"For information on using Huntington Library materials, please see Reproductions of Huntington Library Holdings: https://www.huntington.org/library-rights-permissions"	Stowe Papers	High resolution	2022:09:25	B. Black ; M. Einaudi	V. Wilkie	1096084	mssST_57_v17_222.tif	http://cdm16003.contentdm.oclc.org/cdm/ref/collection/p16003coll20/id/221		http://cdm16003.contentdm.oclc.org/iiif/p16003coll20:221/manifest.json	http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/221/full/full/0/default.jpg
p. 215		1719; 1720	11 Oct 1720 ; 11 Oct 1720	"mssST 57, v. 17"	Correspondents: Onely (Mr) ; Henricks Mr.					"Stowe papers, 1175-1919 (bulk 1600-1900)."		Volume 17 of ST 57		"For information on using Huntington Library materials, please see Reproductions of Huntington Library Holdings: https://www.huntington.org/library-rights-permissions"	Stowe Papers	High resolution	2022:09:25	B. Black ; M. Einaudi	V. Wilkie	1096085	mssST_57_v17_223.tif	http://cdm16003.contentdm.oclc.org/cdm/ref/collection/p16003coll20/id/222		http://cdm16003.contentdm.oclc.org/iiif/p16003coll20:222/manifest.json	http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/222/full/full/0/default.jpg
