Shelfmark,UV URL,Page Label,Date,Type,Notes,,,,,,,,,,,,,,,,,,,
MS 25561,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441979.0x000001 ,f.27r,"1,28,35",Correspondence,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
MS 25561,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441979.0x000001 ,f.27v,"11,34",Correspondence,"no day listed, only month and year",,,,,,,,,,,,,,,,,,,
MS 25561,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441979.0x000001 ,f.28r,"11,34",Correspondence,,,,,,,,,,,,,,,,,,,,
MS 25561,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441979.0x000001 ,f.28v,"11,34",Correspondence,,,,,,,,,,,,,,,,,,,,
MS 25561,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441979.0x000001 ,f.29r,"11,34",Correspondence,,,,,,,,,,,,,,,,,,,,
MS 25561,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441979.0x000001 ,f.29v,"11,34",Correspondence,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
MS 25561,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441979.0x000001 ,f.29v,"11,29,34","Abstract of Proceedings re: ""Dutys on Negroes in Jamaica""",,,,,,,,,,,,,,,,,,,,
MS 25561,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441979.0x000001 ,f.30r,"11,29,34","Abstract of Proceedings re: ""Dutys on Negroes in Jamaica""",,,,,,,,,,,,,,,,,,,,
MS 25561,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441979.0x000001 ,f.30v,"11,29,34","Abstract of Proceedings re: ""Dutys on Negroes in Jamaica""",,,,,,,,,,,,,,,,,,,,
MS 25561,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441979.0x000001 ,f.31r,"11,29,34","Abstract of Proceedings re: ""Dutys on Negroes in Jamaica""",,,,,,,,,,,,,,,,,,,,
MS 25561,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441979.0x000001 ,f.31v,"11,29,34","Abstract of Proceedings re: ""Dutys on Negroes in Jamaica""",,,,,,,,,,,,,,,,,,,,
MS 25561,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441979.0x000001 ,f.32r,"11,29,34","Abstract of Proceedings re: ""Dutys on Negroes in Jamaica""",,,,,,,,,,,,,,,,,,,,
MS 25561,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441979.0x000001 ,f.32v,"11,29,34","Abstract of Proceedings re: ""Dutys on Negroes in Jamaica""",,,,,,,,,,,,,,,,,,,,
MS 25561,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441979.0x000001 ,f.33r,"11,29,34","Abstract of Proceedings re: ""Dutys on Negroes in Jamaica""",,,,,,,,,,,,,,,,,,,,
MS 25561,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441979.0x000001 ,f.33v,"11,29,34","Abstract of Proceedings re: ""Dutys on Negroes in Jamaica""",,,,,,,,,,,,,,,,,,,,
MS 25561,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441979.0x000001 ,f.34r,"11,29,34","Abstract of Proceedings re: ""Dutys on Negroes in Jamaica""",,,,,,,,,,,,,,,,,,,,
MS 25561,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441979.0x000001 ,f.34v,"11,29,34","Abstract of Proceedings re: ""Dutys on Negroes in Jamaica""",,,,,,,,,,,,,,,,,,,,
MS 25561,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441979.0x000001 ,f.35r,"11,29,34","Abstract of Proceedings re: ""Dutys on Negroes in Jamaica""",,,,,,,,,,,,,,,,,,,,
MS 25561,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441979.0x000001 ,f.35v,"11,29,34","Abstract of Proceedings re: ""Dutys on Negroes in Jamaica""",,,,,,,,,,,,,,,,,,,,
MS 25561,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441979.0x000001 ,f.36r,"11,29,34","Abstract of Proceedings re: ""Dutys on Negroes in Jamaica""",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
MS 25561,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441979.0x000001 ,f.36v,"1,24,35",Correspondence,,,,,,,,,,,,,,,,,,,,
MS 25561,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441979.0x000001 ,f.37r,"1,24,35",Correspondence,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
MS 25561,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441979.0x000001 ,f.37r,"1,28,35",Correspondence,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
MS 25561,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441979.0x000001 ,f.37v,"1,28,35",Correspondence,,,,,,,,,,,,,,,,,,,,
MS 25561,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441979.0x000001 ,f.38r,"1,28,35",Correspondence,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
MS 25561,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441979.0x000001 ,f.38r,"2,21,35",Correspondence,,,,,,,,,,,,,,,,,,,,
MS 25561,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441979.0x000001 ,f.38v,"2,21,35",Correspondence,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
MS 25561,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441979.0x000001 ,f.39r,"2,25,35",Correspondence,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
MS 25561,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441979.0x000001 ,f.39v,No Date,Correspondence,,,,,,,,,,,,,,,,,,,,
MS 25561,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441979.0x000001 ,f.40r,No Date,Correspondence,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
MS 25561,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441979.0x000001 ,f.40v,"3,6,35",Correspondence,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
MS 25561,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441979.0x000001 ,f.41r,"3,29,35",Correspondence,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
MS 25561,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441979.0x000001 ,f.41r,"4,14,35",Correspondence,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
MS 25561,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441979.0x000001 ,f.41r,"5,8,35",Correspondence,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
