Shelfmark,UV URL,Page Label,Date,Type,Notes
MS 25567,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442488.0x000001,f.47r,"10,27,24",Instructions,
MS 25567,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442488.0x000001,f.47v,"10,27,24",Instructions,
MS 25567,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442488.0x000001,f.48r,"10,27,24",Instructions,
MS 25567,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442488.0x000001,f.48v,"10,27,24",Instructions,
MS 25567,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442488.0x000001,f.49r,"10,27,24",Instructions,
,,,,,
MS 25567,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442488.0x000001,f.49v,"11,26,24",Instructions,
MS 25567,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442488.0x000001,f.50r,"11,26,24",Instructions,
MS 25567,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442488.0x000001,f.50v,"11,26,24",Instructions,
MS 25567,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442488.0x000001,f.51r,"11,26,24",Instructions,
MS 25567,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442488.0x000001,f.51v,"11,26,24",Instructions,
MS 25567,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442488.0x000001,f.52r,"11,26,24",Instructions,
MS 25567,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442488.0x000001,f.52v,"11,26,24",Instructions,
,,,,,
MS 25567,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442488.0x000001,f.53r,"12,24,24",Instructions,
MS 25567,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442488.0x000001,f.53v,"12,24,24",Instructions,
MS 25567,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442488.0x000001,f.54r,"12,24,24",Instructions,
MS 25567,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442488.0x000001,f.54v,"12,24,24",Instructions,
MS 25567,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442488.0x000001,f.55r,"12,24,24",Instructions,
MS 25567,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442488.0x000001,f.55v,"12,24,24",Instructions,
MS 25567,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442488.0x000001,f.56r,"12,24,24",Instructions,
MS 25567,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442488.0x000001,f.56v,"12,24,24",Instructions,
,,,,,
MS 25567,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442488.0x000001,f.57r,"1,14,25",Instructions,
MS 25567,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442488.0x000001,f.57v,"1,14,25",Instructions,
MS 25567,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442488.0x000001,f.58r,"1,14,25",Instructions,
,,,,,
MS 25567,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442488.0x000001,f.58v,"1,14,25",Instructions,
MS 25567,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442488.0x000001,f.59r,"1,14,25",Instructions,
MS 25567,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442488.0x000001,f.59v,"1,14,25",Instructions,
MS 25567,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442488.0x000001,f.60r,"1,14,25",Instructions,
MS 25567,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442488.0x000001,f.60v,"1,14,25",Instructions,
MS 25567,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442488.0x000001,f.61r,"1,14,25",Instructions,
MS 25567,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442488.0x000001,f.61v,"1,14,25",Instructions,
,,,,,
MS 25567,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442488.0x000001,f.62r,"1,14,25",Instructions,
MS 25567,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442488.0x000001,f.62v,"1,14,25",Instructions,
MS 25567,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442488.0x000001,f.63r,"1,14,25",Instructions,
MS 25567,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442488.0x000001,f.63v,"1,14,25",Instructions,
MS 25567,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442488.0x000001,f.64r,"1,14,25",Instructions,
MS 25567,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442488.0x000001,f.64v,"1,14,25",Instructions,
MS 25567,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442488.0x000001,f.65r,"1,14,25",Instructions,
,,,,,
MS 25567,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442488.0x000001,f.65v,"2,25,25",Instructions,
MS 25567,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442488.0x000001,f.66r,"2,25,25",Instructions,
MS 25567,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442488.0x000001,f.66v,"2,25,25",Instructions,
MS 25567,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442488.0x000001,f.67r,"2,25,25",Instructions,
MS 25567,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442488.0x000001,f.67v,"2,25,25",Instructions,
MS 25567,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442488.0x000001,f.68r,"2,25,25",Instructions,
,,,,,
MS 25567,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442488.0x000001,f.68v,"2,25,25",Instructions,
MS 25567,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442488.0x000001,f.69r,"2,25,25",Instructions,
MS 25567,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442488.0x000001,f.69v,"2,25,25",Instructions,
MS 25567,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442488.0x000001,f.70r,"2,25,25",Instructions,
MS 25567,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442488.0x000001,f.70v,"2,25,25",Instructions,
,,,,,
MS 25567,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442488.0x000001,f.71v,"2,25,25",Instructions,
MS 25567,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442488.0x000001,f.72r,"2,25,25",Instructions,
MS 25567,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442488.0x000001,f.72v,"2,25,25",Instructions,
MS 25567,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442488.0x000001,f.73r,"2,25,25",Instructions,
MS 25567,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442488.0x000001,f.73v,"2,25,25",Instructions,
MS 25567,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442488.0x000001,f.74r,"2,25,25",Instructions,
,,,,,
MS 25567,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442488.0x000001,f.74v,"3,25,25",Instructions,
MS 25567,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442488.0x000001,f.75r,"3,25,25",Instructions,
MS 25567,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442488.0x000001,f.75v,"3,25,25",Instructions,
MS 25567,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442488.0x000001,f.76r,"3,25,25",Instructions,
MS 25567,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442488.0x000001,f.76v,"3,25,25",Instructions,
,,,,,
MS 25567,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442488.0x000001,f.77r,"4,21,25",Instructions,
MS 25567,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442488.0x000001,f.77v,"4,21,25",Instructions,
MS 25567,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442488.0x000001,f.78r,"4,21,25",Instructions,
MS 25567,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442488.0x000001,f.78v,"4,21,25",Instructions,
