Title	Creator	Date Searchable	Date	Call Number	Description	Notes	Subjects	Form/Genre	Contributor	Physical Collection	Physical Sub-Collection	Part of Object	Catalog Link	Rights	Digital Collection	Digitization Specifications	Date Digitized	Cataloger	Project Administrator	Unique Digital Identifier	Object File Name	Reference URL	IIIF Object Manifest Link	IIIF Page Manifest Link	IIIF Page Image Manifest Link
p. 37			14 Apr 1721	"mssST 57, v. 19"	"Correspondent: Brydges, Mr. Geo."					"Stowe papers, 1175-1919 (bulk 1600-1900)."	ST Volumes	Volume 19 of ST 57		"For information on using Huntington Library materials, please see Reproductions of Huntington Library Holdings: https://www.huntington.org/library-rights-permissions"	Stowe Papers	High resolution	2022:08:22	B. Black ; M. Einaudi	V. Wilkie	1099399	mssST_57_v19_043.jpg	http://cdm16003.contentdm.oclc.org/cdm/ref/collection/p16003coll20/id/946		http://cdm16003.contentdm.oclc.org/iiif/p16003coll20:946/manifest.json	http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/946/full/full/0/default.jpg
p. 38				"mssST 57, v. 19"						"Stowe papers, 1175-1919 (bulk 1600-1900)."	ST Volumes	Volume 19 of ST 57		"For information on using Huntington Library materials, please see Reproductions of Huntington Library Holdings: https://www.huntington.org/library-rights-permissions"	Stowe Papers	High resolution	2022:08:22	B. Black ; M. Einaudi	V. Wilkie	1099400	mssST_57_v19_044.jpg	http://cdm16003.contentdm.oclc.org/cdm/ref/collection/p16003coll20/id/947		http://cdm16003.contentdm.oclc.org/iiif/p16003coll20:947/manifest.json	http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/947/full/full/0/default.jpg
p. 39			17 Apr 1721	"mssST 57, v. 19"	"Correspondent: Cornwall, Velters, Esq."					"Stowe papers, 1175-1919 (bulk 1600-1900)."	ST Volumes	Volume 19 of ST 57		"For information on using Huntington Library materials, please see Reproductions of Huntington Library Holdings: https://www.huntington.org/library-rights-permissions"	Stowe Papers	High resolution	2022:08:22	B. Black ; M. Einaudi	V. Wilkie	1099401	mssST_57_v19_045.jpg	http://cdm16003.contentdm.oclc.org/cdm/ref/collection/p16003coll20/id/948		http://cdm16003.contentdm.oclc.org/iiif/p16003coll20:948/manifest.json	http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/948/full/full/0/default.jpg
p. 40			18 Apr 1721 ; 16 Aug 1721	"mssST 57, v. 19"	"Correspondents: Brydges, Mr. Fran. ; Orange, Mrs.."					"Stowe papers, 1175-1919 (bulk 1600-1900)."	ST Volumes	Volume 19 of ST 57		"For information on using Huntington Library materials, please see Reproductions of Huntington Library Holdings: https://www.huntington.org/library-rights-permissions"	Stowe Papers	High resolution	2022:08:22	B. Black ; M. Einaudi	V. Wilkie	1099402	mssST_57_v19_046.jpg	http://cdm16003.contentdm.oclc.org/cdm/ref/collection/p16003coll20/id/949		http://cdm16003.contentdm.oclc.org/iiif/p16003coll20:949/manifest.json	http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/949/full/full/0/default.jpg
p. 41				"mssST 57, v. 19"						"Stowe papers, 1175-1919 (bulk 1600-1900)."	ST Volumes	Volume 19 of ST 57		"For information on using Huntington Library materials, please see Reproductions of Huntington Library Holdings: https://www.huntington.org/library-rights-permissions"	Stowe Papers	High resolution	2022:08:22	B. Black ; M. Einaudi	V. Wilkie	1099403	mssST_57_v19_047.jpg	http://cdm16003.contentdm.oclc.org/cdm/ref/collection/p16003coll20/id/950		http://cdm16003.contentdm.oclc.org/iiif/p16003coll20:950/manifest.json	http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/950/full/full/0/default.jpg
p. 42			17 Apr 1721	"mssST 57, v. 19"	"Correspondent: Du Livier, Mr.."					"Stowe papers, 1175-1919 (bulk 1600-1900)."	ST Volumes	Volume 19 of ST 57		"For information on using Huntington Library materials, please see Reproductions of Huntington Library Holdings: https://www.huntington.org/library-rights-permissions"	Stowe Papers	High resolution	2022:08:22	B. Black ; M. Einaudi	V. Wilkie	1099404	mssST_57_v19_048.jpg	http://cdm16003.contentdm.oclc.org/cdm/ref/collection/p16003coll20/id/951		http://cdm16003.contentdm.oclc.org/iiif/p16003coll20:951/manifest.json	http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/951/full/full/0/default.jpg
p. 43			18 Apr 1721	"mssST 57, v. 19"	"Correspondent: Oakley, Capt. W m.."					"Stowe papers, 1175-1919 (bulk 1600-1900)."	ST Volumes	Volume 19 of ST 57		"For information on using Huntington Library materials, please see Reproductions of Huntington Library Holdings: https://www.huntington.org/library-rights-permissions"	Stowe Papers	High resolution	2022:08:22	B. Black ; M. Einaudi	V. Wilkie	1099405	mssST_57_v19_049.jpg	http://cdm16003.contentdm.oclc.org/cdm/ref/collection/p16003coll20/id/952		http://cdm16003.contentdm.oclc.org/iiif/p16003coll20:952/manifest.json	http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/952/full/full/0/default.jpg
p. 44			18 Apr 1721	"mssST 57, v. 19"	"Correspondent: Oakley, Capt. Sam."					"Stowe papers, 1175-1919 (bulk 1600-1900)."	ST Volumes	Volume 19 of ST 57		"For information on using Huntington Library materials, please see Reproductions of Huntington Library Holdings: https://www.huntington.org/library-rights-permissions"	Stowe Papers	High resolution	2022:08:22	B. Black ; M. Einaudi	V. Wilkie	1099406	mssST_57_v19_050.jpg	http://cdm16003.contentdm.oclc.org/cdm/ref/collection/p16003coll20/id/953		http://cdm16003.contentdm.oclc.org/iiif/p16003coll20:953/manifest.json	http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/953/full/full/0/default.jpg
p. 45				"mssST 57, v. 19"						"Stowe papers, 1175-1919 (bulk 1600-1900)."	ST Volumes	Volume 19 of ST 57		"For information on using Huntington Library materials, please see Reproductions of Huntington Library Holdings: https://www.huntington.org/library-rights-permissions"	Stowe Papers	High resolution	2022:08:22	B. Black ; M. Einaudi	V. Wilkie	1099407	mssST_57_v19_051.jpg	http://cdm16003.contentdm.oclc.org/cdm/ref/collection/p16003coll20/id/954		http://cdm16003.contentdm.oclc.org/iiif/p16003coll20:954/manifest.json	http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/954/full/full/0/default.jpg
p. 46				"mssST 57, v. 19"						"Stowe papers, 1175-1919 (bulk 1600-1900)."	ST Volumes	Volume 19 of ST 57		"For information on using Huntington Library materials, please see Reproductions of Huntington Library Holdings: https://www.huntington.org/library-rights-permissions"	Stowe Papers	High resolution	2022:08:22	B. Black ; M. Einaudi	V. Wilkie	1099408	mssST_57_v19_052.jpg	http://cdm16003.contentdm.oclc.org/cdm/ref/collection/p16003coll20/id/955		http://cdm16003.contentdm.oclc.org/iiif/p16003coll20:955/manifest.json	http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/955/full/full/0/default.jpg
p. 47			24 Apr 1721	"mssST 57, v. 19"	"Correspondent: Arbuthnot, Mr."					"Stowe papers, 1175-1919 (bulk 1600-1900)."	ST Volumes	Volume 19 of ST 57		"For information on using Huntington Library materials, please see Reproductions of Huntington Library Holdings: https://www.huntington.org/library-rights-permissions"	Stowe Papers	High resolution	2022:08:22	B. Black ; M. Einaudi	V. Wilkie	1099409	mssST_57_v19_053.jpg	http://cdm16003.contentdm.oclc.org/cdm/ref/collection/p16003coll20/id/956		http://cdm16003.contentdm.oclc.org/iiif/p16003coll20:956/manifest.json	http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/956/full/full/0/default.jpg
