VOYAGEID,ID,Captive name,Shipper,Owner A,Owner B,,,,,,,,,,,
135119,800285,Albert,,"Smith, Ash.",,,,,,,,,,,,
135119,800286,Eliza,,"Smith, Ash.",,,,,,,,,,,,
135120,800287,Amanda,,"Brooks, Milton",,,,,,,,,,,,
135121,800288,Joseph Brooks,,"Archer, R.T.",,,,,,,,,,,,
135121,800289,Theodore,,"Roberts, Samuel A.",,,,,,,,,,,,
135122,800290,Jack,,"O'Brien, Owen",,,,,,,,,,,,
135122,800291,Simon,,"Mayers, A.G.",,,,,,,,,,,,
135122,800292,William,,"Mayers, A.G.",,,,,,,,,,,,
135123,800293,William,,"Hawthorn, John N.","Bogart, J.L.",,,,,,,,,,,
135123,800294,Isaac,,McGill,,,,,,,,,,,,
135125,800295,Henry,,"Reed, James",,,,,,,,,,,,
135125,800296,Tom,,"Paulling, William K.",,,,,,,,,,,,
135124,800297,William,,"Bogart, J.L.",,,,,,,,,,,,
135126,800298,Phoebé,,"Cassino, Jose",,,,,,,,,,,,
135126,800299,Mary,,"Cassino, Jose",,,,,,,,,,,,
135127,800300,Polly,"Satterfield, P.B.",,,,,,,,,,,,,
135127,800301,Henry,,"Barrow, Robert James",,,,,,,,,,,,
135127,800302,Abner,,"Dawson, J.B.",,,,,,,,,,,,
135127,800303,Caroline,,"Randle, John S.",,,,,,,,,,,,
135128,800304,Tyrel,,"Shook, J.N.",,,,,,,,,,,,
136131,800305,Jim,,"Walker, P.R.",,,,,,,,,,,,
135129,800306,Celia,,"Long, John S.",,,,,,,,,,,,
135129,800307,Venus,,"Long, John S.",,,,,,,,,,,,
135130,800308,Nelson,,"Labranche, Alice",,,,,,,,,,,,
135131,800309,Mary,,"Roberts, R.H.",,,,,,,,,,,,
135131,800310,Adele,"Thornton, Francis W.",,,,,,,,,,,,,
135132,800311,Bob,,"Tullis, E.J.",,,,,,,,,,,,
135133,800312,Judy,"Shannon, Pierce",,,,,,,,,,,,,
135134,800313,Charles,,"Williams, Nathaniel F.",,,,,,,,,,,,
135135,800314,Jack,,"Harrison, Thomas J.",,,,,,,,,,,,
135136,800315,Thomas,,"Walker, E.B.",,,,,,,,,,,,
135137,800316,Paty,,"Dubose, Samuel",,,,,,,,,,,,
135138,800317,William,,"Hawthorne, Bogert",,,,,,,,,,,,
136129,800318,Pamela,,"Wade, John",,,,,,,,,,,,
136129,800319,Stephen,,"Beal, J. William M.",,,,,,,,,,,,
136129,800320,John,,"Beal, J. William M.",,,,,,,,,,,,
135141,800321,Philis,,"Scoofy, Jane",,,,,,,,,,,,
135139,800322,Caroline,,"Love, Jas.",,,,,,,,,,,,
135142,800323,Israel,,"McDonald, A.",,,,,,,,,,,,
135142,800324,Henry,,"McDonald, A.",,,,,,,,,,,,
135143,800325,William,,"Hawthorne, Bogert",,,,,,,,,,,,
135143,800326,James,,"Hawthorne, Bogert",,,,,,,,,,,,
135144,800327,William,,"Hawthorne, Bogert",,,,,,,,,,,,
135144,800328,James,,"Hawthorne, Bogert",,,,,,,,,,,,
135144,800329,John,,"Hawthorne, Bogert",,,,,,,,,,,,
136164,800330,Marguerite,,"Silversides, Robert",,,,,,,,,,,,
136164,800331,Finny,,"Silversides, Robert",,,,,,,,,,,,
135145,800332,Miles,,"Powell, J.T.",,,,,,,,,,,,
135147,800333,Robert,,"Christy, William & Son",,,,,,,,,,,,
135147,800334,Alexander,,"Christy, William & Son",,,,,,,,,,,,
135147,800335,Frank,,"Christy, William & Son",,,,,,,,,,,,
135148,800336,Maria,,"Hamilton, J.D.",,,,,,,,,,,,
135149,800337,Filee,,"Scoofy, Jane",,,,,,,,,,,,
135149,800338,Erasmous,,"Hawkins, Thomas P.",,,,,,,,,,,,
135149,800339,Felice,,"Scoofy, Jane",,,,,,,,,,,,
135150,800340,Suzan,"Tomkins, S.S.",,,,,,,,,,,,,
135152,800341,Allen,,"Huntington, G.W.",,,,,,,,,,,,
135151,800342,Suzane,,"Davis, J.H.",,,,,,,,,,,,
135152,800343,Betsey,,"Glatigny, E.",,,,,,,,,,,,
135153,800344,Sensha Mathilda,,"Brasher, Matilda",,,,,,,,,,,,
136054,800345,Amy,,"Wright, John T.",,,,,,,,,,,,
135154,800346,William,,"Sims, William",,,,,,,,,,,,
135155,800347,Joseph,,"Morris, J.D.",,,,,,,,,,,,
135155,800348,Isaac,,"Herbert, P. Walter",,,,,,,,,,,,
135155,800349,Jim,,"Herbert, P. Walter",,,,,,,,,,,,
135155,800350,Charles,,"Herbert, P. Walter",,,,,,,,,,,,
135155,800351,Mary,,"Herbert, P. Walter",,,,,,,,,,,,
135155,800352,Grace,,"Herbert, P. Walter",,,,,,,,,,,,
135155,800353,Martha,,"Herbert, P. Walter",,,,,,,,,,,,
135155,800354,Pars,,"Riddle, H.",,,,,,,,,,,,
135155,800355,Rachel,,"Riddle, H.",,,,,,,,,,,,
135155,800356,Joseph,,"Morris, J.D.",,,,,,,,,,,,
135156,800357,Chaney,,"Allen, James J.",,,,,,,,,,,,
135156,800358,Jack,,"Henry, J.J.",,,,,,,,,,,,
135158,800359,William Bryan,,"Zachariazle, J.N.",,,,,,,,,,,,
135158,800360,Frederick Hall,"Sanpradelles, A.G.",,,,,,,,,,,,,
135157,800361,Sandy,,"Yonkee, M.T.",,,,,,,,,,,,
136055,800362,Charles,,"Wells, T.",,,,,,,,,,,,
136055,800363,Rhoda,,"Wells, T.",,,,,,,,,,,,
136055,800364,May,,"Lang, Thomas",,,,,,,,,,,,
135159,800365,Harriett,"Monad, C.",,,,,,,,,,,,,
136056,800366,Sally,,"Nable, John",,,,,,,,,,,,
135160,800367,George,,"Renfroe, Robert W.",,,,,,,,,,,,
135160,800368,Caroline,,"Love, James",,,,,,,,,,,,
135160,800369,Susan,,"Harper, Daniel E.",,,,,,,,,,,,
135161,800370,Simon,,"Corry, Alice",,,,,,,,,,,,
135161,800371,David,,"Lacy, R.D.",,,,,,,,,,,,
135162,800372,Matilda,,"Arnold, William J.",,,,,,,,,,,,
135162,800373,Prince,,"Arnold, William J.",,,,,,,,,,,,
135162,800374,Dareus,,"Arnold, William J.",,,,,,,,,,,,
135162,800375,Warner,,"Arnold, William J.",,,,,,,,,,,,
135162,800376,Lewis,,"Arnold, William J.",,,,,,,,,,,,
135162,800377,Charlotte,,"Arnold, William J.",,,,,,,,,,,,
135162,800378,Marney,,"Arnold, William J.",,,,,,,,,,,,
135163,800379,Miles,,"Callahan, Michael",,,,,,,,,,,,
135163,800380,Henry,,"Callahan, Michael",,,,,,,,,,,,
135163,800381,Isabella,,"Callahan, Michael",,,,,,,,,,,,
135163,800382,Prince,,"Lynch, J.B.",,,,,,,,,,,,
135164,800383,Pauline,,"Brown, P.P. (Mrs.)",,,,,,,,,,,,
135165,800384,David,,"Thompson, James A.",,,,,,,,,,,,
135165,800385,Mary,,"Thompson, James A.",,,,,,,,,,,,
135165,800386,Henry,,"Thompson, James A.",,,,,,,,,,,,
135165,800387,Isacc,,"Thompson, James A.",,,,,,,,,,,,
135165,800388,Thomas,,"Thompson, James A.",,,,,,,,,,,,
135166,800389,Salbar,,"Daney, John W.",,,,,,,,,,,,
135166,800390,Grandville,,"Ellis, B.F.",,,,,,,,,,,,
135168,800391,Mary,,"Brown, C.S. (Madam/Mrs.)",,,,,,,,,,,,
135167,800392,Jordan,,"Foster, G.P.",,,,,,,,,,,,
135167,800393,Estra,,"Lee, Joseph K.",,,,,,,,,,,,
135167,800394,Allen,,"Lee, Joseph K.",,,,,,,,,,,,
135167,800395,Angel,,"Rogers, Joseph",,,,,,,,,,,,
135169,800396,Tom,,"Hume, S.A.",,,,,,,,,,,,
136057,800397,Clary,,"Sydnor, John S.",,,,,,,,,,,,
136057,800398,Julienne,,"Sydnor, John S.",,,,,,,,,,,,
136057,800399,Jackson,,"Wertner, J.D.",,,,,,,,,,,,
135170,800400,Jane Collins,,"Tucker, Leonard T.",,,,,,,,,,,,
135170,800401,Helen,,"Tucker, Leonard T.",,,,,,,,,,,,
136130,800402,Malvina,,"Moreland, Joseph",,,,,,,,,,,,
135171,800403,Tom,,"Lamberth, William M.",,,,,,,,,,,,
135172,800404,Richard,,"Lewis, J.R.",,,,,,,,,,,,
135173,800405,Celina,,"Glatigny, E.",,,,,,,,,,,,
135173,800406,Bill,"Ellis, William E.",,,,,,,,,,,,,
135173,800407,Hillyard,,"Harrison, R.B.",,,,,,,,,,,,
135174,800408,Scott,,"Jackson, James M.",,,,,,,,,,,,
135174,800409,Louis,,"Jackson, Joseph",,,,,,,,,,,,
