Shelfmark,UV URL,Page Label,Date,Type,
MS 25502,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439579.0x000001,f.61v,"8,13,24",Meeting Minutes,
MS 25502,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439579.0x000001,f.62r,"8,13,24",Meeting Minutes,
MS 25502,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439579.0x000001,f.62v,"8,13,24",Meeting Minutes,
,,,,,
MS 25502,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439579.0x000001,f.62v,"9,3,24",Meeting Minutes,
MS 25502,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439579.0x000001,f.63r,"9,3,24",Meeting Minutes,
MS 25502,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439579.0x000001,f.63v,"9,3,24",Meeting Minutes,
MS 25502,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439579.0x000001,f.64r,"9,3,24",Meeting Minutes,
,,,,,
MS 25502,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439579.0x000001,f.64r,"9,10,24",Meeting Minutes,
MS 25502,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439579.0x000001,f.64v,"9,10,24",Meeting Minutes,
MS 25502,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439579.0x000001,f.65r,"9,10,24",Meeting Minutes,
,,,,,
MS 25502,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439579.0x000001,f.65r,"9,17,24",Meeting Minutes,
MS 25502,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439579.0x000001,f.65v,"9,17,24",Meeting Minutes,
MS 25502,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439579.0x000001,f.66r,"9,17,24",Meeting Minutes,
MS 25502,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439579.0x000001,f.66v,"9,17,24",Meeting Minutes,
MS 25502,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439579.0x000001,f.67r,"9,17,24",Meeting Minutes,
,,,,,
MS 25502,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439579.0x000001,f.67r,"9,24,24",Meeting Minutes,
MS 25502,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439579.0x000001,f.67v,"9,24,24",Meeting Minutes,
MS 25502,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439579.0x000001,f.68r,"9,24,24",Meeting Minutes,
MS 25502,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439579.0x000001,f.68v,"9,24,24",Meeting Minutes,
,,,,,
MS 25502,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439579.0x000001,f.68v,"10,1,24",Meeting Minutes,
MS 25502,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439579.0x000001,f.69r,"10,1,24",Meeting Minutes,
MS 25502,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439579.0x000001,f.69v,"10,1,24",Meeting Minutes,
MS 25502,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439579.0x000001,f.70r,"10,1,24",Meeting Minutes,
,,,,,
MS 25502,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439579.0x000001,f.70r,"10,8,24",Meeting Minutes,
MS 25502,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439579.0x000001,f.70v,"10,8,24",Meeting Minutes,
MS 25502,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439579.0x000001,f.71r,"10,8,24",Meeting Minutes,
MS 25502,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439579.0x000001,f.71v,"10,8,24",Meeting Minutes,
,,,,,
MS 25502,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439579.0x000001,f.71v,"10,15,24",Meeting Minutes,
MS 25502,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439579.0x000001,f.72r,"10,15,24",Meeting Minutes,
MS 25502,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439579.0x000001,f.72v,"10,15,24",Meeting Minutes,
MS 25502,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439579.0x000001,f.73r,"10,15,24",Meeting Minutes,
,,,,,
MS 25502,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439579.0x000001,f.73v,"10,22,24",Meeting Minutes,
