Shelfmark,UV URL,Page Label,Date,Type,Notes
MS 25500,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439203.0x000001,f.47r,"4,19,21",Meeting Minutes,
MS 25500,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439203.0x000001,f.47v,"4,19,21",Meeting Minutes,
,,,,,
MS 25500,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439203.0x000001,f.48r,"4,21,21",Meeting Minutes,
MS 25500,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439203.0x000001,f.48v,"4,21,21",Meeting Minutes,
MS 25500,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439203.0x000001,f.49r,"4,21,21",Meeting Minutes,
MS 25500,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439203.0x000001,f.49v,"4,21,21",Meeting Minutes,
MS 25500,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439203.0x000001,f.50r,"4,21,21",Meeting Minutes,
,,,,,
MS 25500,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439203.0x000001,f.50v,"4,26,21",Meeting Minutes,
MS 25500,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439203.0x000001,f.51r,"4,26,21",Meeting Minutes,
MS 25500,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439203.0x000001,f.51v,"4,26,21",Meeting Minutes,
MS 25500,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439203.0x000001,f.52r,"4,26,21",Meeting Minutes,
,,,,,
MS 25500,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439203.0x000001,f.52v,"4,28,21",Meeting Minutes,
MS 25500,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439203.0x000001,f.53r,"4,28,21",Meeting Minutes,
MS 25500,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439203.0x000001,f.53v,"4,28,21",Meeting Minutes,
,,,,,
MS 25500,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439203.0x000001,f.54r,"5,4,21",Meeting Minutes,
MS 25500,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439203.0x000001,f.54v,"5,4,21",Meeting Minutes,
MS 25500,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439203.0x000001,f.55r,"5,4,21",Meeting Minutes,
MS 25500,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439203.0x000001,f.55v,"5,4,21",Meeting Minutes,
,,,,,
MS 25500,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439203.0x000001,f.56r,"5,11,21",Meeting Minutes,
MS 25500,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439203.0x000001,f.56v,"5,11,21",Meeting Minutes,
MS 25500,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439203.0x000001,f.57r,"5,11,21",Meeting Minutes,
MS 25500,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439203.0x000001,f.57v,"5,11,21",Meeting Minutes,
,,,,,
MS 25500,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439203.0x000001,f.58r,"5,18,21",Meeting Minutes,
MS 25500,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439203.0x000001,f.58v,"5,18,21",Meeting Minutes,
MS 25500,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439203.0x000001,f.59r,"5,18,21",Meeting Minutes,
MS 25500,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439203.0x000001,f.59v,"5,18,21",Meeting Minutes,
MS 25500,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439203.0x000001,f.60r,"5,18,21",Meeting Minutes,
,,,,,
MS 25500,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439203.0x000001,f.60v,"5,25,21",Meeting Minutes,
MS 25500,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439203.0x000001,f.61r,"5,25,21",Meeting Minutes,
MS 25500,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439203.0x000001,f.61v,"5,25,21",Meeting Minutes,
MS 25500,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439203.0x000001,f.62r,"5,25,21",Meeting Minutes,
,,,,,
MS 25500,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439203.0x000001,f.62v,"6,2,21",Meeting Minutes,
MS 25500,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439203.0x000001,f.63r,"6,2,21",Meeting Minutes,
MS 25500,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439203.0x000001,f.63v,"6,2,21",Meeting Minutes,
MS 25500,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439203.0x000001,f.64r,"6,2,21",Meeting Minutes,
MS 25500,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439203.0x000001,f.64v,"6,2,21",Meeting Minutes,
MS 25500,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439203.0x000001,f.65r,"6,2,21",Meeting Minutes,
,,,,,
MS 25500,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439203.0x000001,f.65v,"6,12,21",Meeting Minutes,
,,,,,
MS 25500,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439203.0x000001,f.66r,"6,15,21",Meeting Minutes,
MS 25500,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439203.0x000001,f.66v,"6,15,21",Meeting Minutes,
MS 25500,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439203.0x000001,f.67r,"6,15,21",Meeting Minutes,
,,,,,
MS 25500,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439203.0x000001,f.67v,"6,22,21",Meeting Minutes,
MS 25500,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439203.0x000001,f.68r,"6,22,21",Meeting Minutes,
MS 25500,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439203.0x000001,f.68v,"6,22,21",Meeting Minutes,
MS 25500,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439203.0x000001,f.69r,"6,22,21",Meeting Minutes,
MS 25500,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439203.0x000001,f.69v,"6,22,21",Meeting Minutes,
,,,,,
MS 25500,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439203.0x000001,f.70r,"6,29,21",Meeting Minutes,
MS 25500,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439203.0x000001,f.70v,"6,29,21",Meeting Minutes,
MS 25500,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439203.0x000001,f.71r,"6,29,21",Meeting Minutes,
MS 25500,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439203.0x000001,f.71v,"6,29,21",Meeting Minutes,
,,,,,
MS 25500,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439203.0x000001,f.72r,"7,6,21",Meeting Minutes,
MS 25500,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439203.0x000001,f.72v,"7,6,21",Meeting Minutes,
MS 25500,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439203.0x000001,f.73r,"7,6,21",Meeting Minutes,
MS 25500,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439203.0x000001,f.73v,"7,6,21",Meeting Minutes,
MS 25500,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439203.0x000001,f.74r,"7,6,21",Meeting Minutes,
MS 25500,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439203.0x000001,f.74v,"7,6,21",Meeting Minutes,
MS 25500,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439203.0x000001,f.75r,"7,6,21",Meeting Minutes,
,,,,,
MS 25500,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439203.0x000001,f.75v,"7,13,21",Meeting Minutes,
MS 25500,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439203.0x000001,f.76r,"7,13,21",Meeting Minutes,
MS 25500,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439203.0x000001,f.76v,"7,13,21",Meeting Minutes,
MS 25500,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439203.0x000001,f.77r,"7,13,21",Meeting Minutes,
MS 25500,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439203.0x000001,f.77v,"7,13,21",Meeting Minutes,
MS 25500,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439203.0x000001,f.78r,"7,13,21",Meeting Minutes,
MS 25500,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439203.0x000001,f.78v,"7,13,21",Meeting Minutes,
,,,,,
MS 25500,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439203.0x000001,f.79r,"7,20,21",Meeting Minutes,
MS 25500,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439203.0x000001,f.79v,"7,20,21",Meeting Minutes,
MS 25500,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439203.0x000001,f.80r,"7,20,21",Meeting Minutes,
MS 25500,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439203.0x000001,f.80v,"7,20,21",Meeting Minutes,
,,,,,
MS 25500,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439203.0x000001,f.81r,"7,27,21",Meeting Minutes,
