id	hash	name	lat	long	value	location_type_id	parent_id	spatial_extent_id
187	20e485d0d7934fc29f679dd1a81c5216	Funchal	-16.9240554	32.6669328	10252	3	11	NULL
188	4cf4f3880b104036aed12d71414c8a48	Vila Real	-7.7406687	41.2991248	10253	3	11	NULL
189	d7659d9782e147c984f7308ee39ab50b	Tabula	-8.3997566	41.2310498	10254	3	11	NULL
190	31f7d81ad1ee4b30a67fdf0341579ed5	Pomar, Coimbra	-8.4238002	40.2059624	10255	3	11	NULL
2221	a5be6750dfd343f9b9634bde564063cf	Viana do Castelo	-8.8329	41.6932	10256	3	11	NULL
191	168233219e5744159e51e3d2e3f0d422	Portugal, port unspecified	-9.13333	38.71667	10299	3	11	NULL
192	5d03dd8e9f0243f198c07a6fba09676e	Ainsdale, Southport	-3.0413134	53.6052685	10301	3	12	NULL
193	b3e4be6d387a4d9fb48e204c4c4cac3b	Ovingham	-1.8670039	54.9684629	10302	3	12	NULL
194	241bf2d06956458eaeec1d27069e900f	Great Britain, place unspecified	-0.11667	51.5	10399	3	12	NULL
195	298785a4a2e44d0caeae70c3c43f818c	Barmouth	0	0	10401	3	13	NULL
196	3ecb481828384326b5fc8757b59bb75b	Bideford	0	0	10402	3	13	NULL
197	049271d4324640c9a382918dce26ecb9	Birkenhead	0	0	10403	3	13	NULL
198	d0f490ab90404c2ca418b23c820deb1b	Bristol	-2.58333	51.45	10404	3	13	NULL
199	86ee4e30139b4249b313229a1a4634fc	Brixham	0	0	10405	3	13	NULL
200	7f7792c2c26b401eac7848dede8595d0	Broadstairs	1.45	51.36667	10406	3	13	NULL
201	20e92f8f6fdc46dd8114562edf3762ee	Cawsand	0	0	10407	3	13	NULL
202	7d06b44a304748b3b78c9795f6c79c20	Chepstow	0	0	10408	3	13	NULL
203	8308eb25572140bf894256af058255e9	Chester	-2.91667	53.2	10409	3	13	NULL
204	0fa43ba104d14379b488683ddf45e2e8	Colchester	0.9	51.88333	10410	3	13	NULL
205	33dfa5820990471293546df1c86ed46a	Cowes	-1.3	50.76667	10411	3	13	NULL
206	9c0f7f8a9a09429dbd1498d8c0358c6c	Dartmouth	-3.58333	50.35	10412	3	13	NULL
207	dc385eb83a6b497a95d188863763faff	Deptford	0	0	10413	3	13	NULL
208	1c4b244bb3284cae92f5db836fc13d50	Dover	1.3	51.13333	10414	3	13	NULL
209	ce5fb9bc6fb14490917e3a06a03aa9a7	Exeter	-3.53333	50.7	10415	3	13	NULL
210	a6bdf6fdfd6f470da0fe40ed6e80e8a6	Folkstone	1.18333	51.08333	10416	3	13	NULL
211	a1f612c0b34f43c3a0cb337310b9cb72	Frodsham	0	0	10417	3	13	NULL
212	6029a755b4a64d24ba6846307c8f4d55	Gainsborough	0	0	10418	3	13	NULL
213	8efb685b277d474286638f595abe3077	Greenwich	0	0	10419	3	13	NULL
214	175eab9d01404bd3b7f6845952c6ef86	Guernsey	-2.53333	49.45	10420	3	13	NULL
215	a7a9e154f63a4eb19e6ebe0f34ef33d7	Harwich	0	0	10421	3	13	NULL
216	a7a4f1e8d19643038d3489c34d8b54cf	Hull	-0.33333	53.71667	10422	3	13	NULL
217	fa166f933e3f4230ab77ba3d6327a354	Ilfracombe	0	0	10423	3	13	NULL
218	633f6fc68d0b40468ee22ceaeac7fd39	Ipswich	1.16667	52.08333	10424	3	13	NULL
219	8652a03a58d145e382ab4e9b6d08e0e3	Isle of Man	0	0	10425	3	13	NULL
220	74715d444b434a56ad1280510e02569a	Isle of Wight	0	0	10426	3	13	NULL
221	19ee69c7db3f483ca2e377e9a5f8c4e8	Jersey	0	0	10427	3	13	NULL
222	24497e83b7fa468d9fa5e8b7d16d69e0	Kendal	-2.75	54.31667	10428	3	13	NULL
223	a5e7319c41c547ab935042bafd826c8b	King's Lynn	0	0	10429	3	13	NULL
224	9183658cd0f74340be0df67a60e5a571	Lancaster	-2.83333	54.06667	10430	3	13	NULL
225	dd429c9092ff43c7a1ce81eca9c82251	Lindale	0	0	10431	3	13	NULL
226	99c9f545ab424569b4a6cd79ea393d34	Liverpool	-3	53.41667	10432	3	13	NULL
227	c2a1e28ebab44718b6a4b72975aa5227	London	-0.11667	51.5	10433	3	13	NULL
228	c6df287b15f64138965b8877dd73915a	Lyme	-2.93333	50.73333	10434	3	13	NULL
229	23e3f38ba36049a1a261ec4225b37ffc	Lancashire, place unspecified	-2.570437	53.69267	10435	3	13	NULL
230	3aa332a3cf9749bf8602e1df098103a6	Maryport	0	0	10436	3	13	NULL
231	e06732ecb51b4b0584ab1aa906eaf43a	Milford Haven	-5.03333	51.71667	10437	3	13	NULL
232	af61b0b4bd364fff94128a5ae2c9408a	New Shoreham	-0.23333	50.83333	10438	3	13	NULL
233	d82197ce89fc46c0a6928be1bb0eb8d8	Newcastle upon Tyne	-1.61944	54.98806	10439	3	13	NULL
234	7d6ea00c90a54d5dafa50fe0ea005bf0	Newnham	0	0	10440	3	13	NULL
235	6a843d7d3378420484025ac8aa8963ff	North Shields	0	0	10441	3	13	NULL
236	fbe1af7cf07f4ce08fd993d427210c19	Northam	0	0	10442	3	13	NULL
237	e11adc356c444bb7a6549de7d18e19ab	Norwich	0	0	10443	3	13	NULL
238	0a56a7dd961e4db2b61da8a760f8aa82	Padstowe	-4.93333	50.53333	10444	3	13	NULL
239	eba028417e4b4eb29771de85c6925c2b	Parkgate	-6.1	54.71667	10445	3	13	NULL
240	abd42afc157441ea8245e61c142d9b29	Piel of Foulney	0	0	10446	3	13	NULL
241	36be5aab31cc4e71afd8ca68066a4643	Plymouth	-4.13861	50.39639	10447	3	13	NULL
242	386eaa1c1768402aaa7315a6207869d9	Poole	-2	50.71667	10448	3	13	NULL
243	5b52d972a2a243b786c09b1c822c936a	Portsery	0	0	10449	3	13	NULL
244	97c90e5bd00c40dba436b1620257ce49	Portsmouth	-1.08333	50.76667	10450	3	13	NULL
245	954dc7b8178b409dac763a15e0c9a282	Poulton	-2.98333	53.83333	10451	3	13	NULL
246	3bdaa2b27e3a49cf90d52ac8ac62946e	Preston	-2.72	53.76667	10452	3	13	NULL
247	c2e3e10ec3b84ce9a9c970f336bb8a64	Ramsgate	0	0	10453	3	13	NULL
248	9030d9663b9844448016b4c9004de2df	Ravenglass	0	0	10454	3	13	NULL
249	c2d7a003f8cd490aa530d77e3511f08b	River Thames	0.40642	51.42687	10455	3	13	NULL
250	3df1ab3aff494cd38f79c25ab49a22a1	Rochester	0	0	10456	3	13	NULL
251	bfcbcdf623db4b56984fd36593e44c7e	Rotherhithe	0	0	10457	3	13	NULL
252	252aa5104d504c8cb4d2dfb7c8eca008	Rye	0	0	10458	3	13	NULL
253	3ff08cadb6a54b548b78f0d53b215eb9	Scarborough	0	0	10459	3	13	NULL
254	c68af141f2ab4b6788d1d5f064c1e610	Sheerness	0	0	10460	3	13	NULL
255	719d0d200d47429ba68feaefb5bda6cf	Shields	0	0	10461	3	13	NULL
256	78ef3685d3ce4df8941f481826390bf3	Shoreham	-0.23333	50.83333	10462	3	13	NULL
257	c271e43eba554d1a8ae60897acdf79cb	Sidmouth	0	0	10463	3	13	NULL
258	56a569960c9943eeb4db5c895f553ac7	Southampton	-1.4	50.9	10464	3	13	NULL
259	c5083a8c022049669ec1b69938d7c362	Barton	-1.7228153	52.763527	10465	3	13	NULL
260	d0a7d806ebe64e68b1405cf0801b2019	Stockton	-1.42	54.58333	10466	3	13	NULL
261	46b34270faa244ee99cca612a5c6013c	Stockwithe	0	0	10467	3	13	NULL
262	04bb75b287e24ce9808d45b2968b8eb4	Sunderland	0	0	10468	3	13	NULL
263	21cfeb6064014acea846fb1e3bce9bc5	Teignmouth	0	0	10469	3	13	NULL
264	4ee1cb4562404ceb99aba999b93714b3	Topsham	-3.45	50.68333	10470	3	13	NULL
265	268214dc1e474f449481f1b3298477c7	Torbay	0	0	10471	3	13	NULL
266	028c5e649f5a4585a4486368962e5fe7	Wales	-3.68431	52.35734	10472	3	13	NULL
267	4463a9d214d741e3983aeec4a8578fb0	Whitby	-0.63056	54.48667	10473	3	13	NULL
268	efed00e7326744c5aed36a826c05ee2e	Whitehaven	-3.6	54.55	10474	3	13	NULL
269	9d88e1e52e944c959dca038a4b6f29a9	Bath	-2.3613581	51.380792	10475	3	13	NULL
270	c8d21c9fe2d043e0a9de8b1124555f1c	Workington	0	0	10476	3	13	NULL
271	c2b457f2d381430f88d18e5128f01efc	Yarmouth	-1.5	50.7	10477	3	13	NULL
272	ff86b5d97f864582a77322a198028508	Youghal	0	0	10478	3	13	NULL
273	57b5e952315d4209a4e7ba381d097c89	Conway	0	0	10479	3	13	NULL
274	571c4b24fe9d4a1da4a926bd182aa190	Falmouth (Eng.)	-5.07106	50.15599	10480	3	13	NULL
275	a0ce545a7f644ccd9c8960dd6f7f7e71	Lymehouse (a) Limehouse	-0.035233	51.51324	10481	3	13	NULL
276	6e13a35dc9b244ecbfe4ae1c9abb226b	Beaumont cote, Bolton le Sands, Lancashire	-2.804534	54.1077062	10482	3	13	NULL
277	bcc1b24c5e174fcaae434194ce907d71	Beckermet	-3.516837	54.447505	10483	3	13	NULL
278	9fcdbefdba304738b21b215082dc7aa4	Ruthin	-3.2986356	53.120538	10484	3	13	NULL
279	4fff461790fd4c18ae2c1af171263eec	Lympstone	-3.429485	50.648194	10485	3	13	NULL
280	936261f3c8c1497f99efc259c944e868	Ballatoar, Isle of Man	-4.5152008	54.3235447	10486	3	13	NULL
281	8a7a981e855a48269d2ab1dfc896b13f	Ashton-in-Makerfield	-2.642566	53.4869569	10488	3	13	NULL
282	075e83b96cb04d55b336256cf2ad0e69	Aspull	-2.588311	53.568213	10489	3	13	NULL
283	eb937035b50d4a09971b33070bddd59e	Aughton	-2.919112	53.537874	10490	3	13	NULL
284	cb29bb6016024ffaad89118db6d89810	Dalton-in-Furness	-2.7044052	53.7632254	10491	3	13	NULL
285	5cd2fc137d0f4c2cb5cfa8e64564ccd8	Bodfari, Flintshire	-3.3592152	53.2214454	10492	3	13	NULL
286	81cdd76cb58c4d229cca533239c99091	Bootle	-2.998895	53.443255	10493	3	13	NULL
287	e5519323de16444988df2c8708e74019	Brampton Bryan	-2.9260785	52.345849	10494	3	13	NULL
288	c7354946408b46dc8f16a704f9f45703	Bromfield, Cumberland	-3.2816074	54.808734	10495	3	13	NULL
289	e9369061824c44fa9b33883c05edc066	Brookhouse, Caton	NULL	54.0753422	10496	3	13	NULL
290	cbd969eabdc74186839297d1c5d22890	Bunbury, Cheshire	-2.6503622	53.1160972	10497	3	13	NULL
291	ad22d92f5e2344769d998c956e1f651a	Smithies, South Barnsley	-1.461063	53.5316973	10498	3	13	NULL
292	58e45dc2982a4735ad46e4b6ea929dc6	England, place unspecified	-0.11667	51.5	10499	3	13	NULL
293	2c4f851f7e53445199efbe3b4b9e3714	Airth	0	0	10501	3	14	NULL
294	8a19f523ff6d4379a5720e5860b47026	Borrowstounness	0	0	10502	3	14	NULL
295	f2efe9ba60a1441c9de2cbecce66787e	Dundee	0	0	10503	3	14	NULL
296	92b5075beb494499a71dc1c5611dfc16	Glasgow	-4.25	55.83333	10504	3	14	NULL
297	a371c78f288c4880a5fdbc8143c6a4bf	Greenock	-4.75	55.93333	10505	3	14	NULL
298	cd45d32792ca44678ab86fdf0566f894	Leith	-3.16667	55.95	10506	3	14	NULL
300	541504e9bbe2467a8acb11b2d97c160e	Montrose	-2.45	56.7	10508	3	14	NULL
301	360744de374f4186a32a4ef6cd67316a	Ross	0	0	10509	3	14	NULL
302	09ea2d3fecfd498f8e362f0c9344110d	Saltcoats	0	0	10510	3	14	NULL
303	61e1865614f0463387c0fae81610e5dd	Largo, Fifeshire	0	0	10511	3	14	NULL
304	2156a223d2164906a868158140c4642c	Dumfries	-3.6051198	55.070859	10512	3	14	NULL
305	be969c032c6c425d96572756a9f28112	Point Askaig	0	0	10513	3	14	NULL
306	18d8720965ef4860af8464dbea54f4b6	Cambletown	-5.605374	55.424117	10514	3	14	NULL
307	0ae411d2c8ea42caa0df3b81e9c1b24e	Portpatrick	-5.116057	54.84279	10515	3	14	NULL
308	2d0f8e6c92c74ec2bfffc9ae891493a1	Erwin	0.0001235	0.0001235	10516	3	14	NULL
309	53fa6cce40864d4a9fee7df958a1e6a5	Aberdeen	-2.094278	57.149717	10517	3	14	NULL
