Shelfmark,Page Labels,Dates,Types,Slave Voyages Notes,HUNT. JPG Descriptors,image_filename,iiif_baseimage_url,,,,,,,,,,,,,,,,,
mssST15v17,f.11r,"2,22,1720",Journal Entry,Mr Haugerford,mssST_57_v17_029.jpg,mssST_57_v17_029.tif,http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/28/full/full/0/default.jpg,,,,,,,,,,,,,,,,,
mssST15v17,f.11v,"2,22,1720",Journal Entry,Mr Haugerford,mssST_57_v17_030.jpg,mssST_57_v17_030.tif,http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/29/full/full/0/default.jpg,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
mssST15v17,f.11v,"2,22,1720",Journal Entry,Honorable Mrs Noel,mssST_57_v17_030.jpg,mssST_57_v17_030.tif,http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/29/full/full/0/default.jpg,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
mssST15v17,f.11v,"2,25,1720",Journal Entry,Lady Haversham,mssST_57_v17_030.jpg,mssST_57_v17_030.tif,http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/29/full/full/0/default.jpg,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
mssST15v17,f.12r,"2,27,1720",Journal Entry,Mr Willi,mssST_57_v17_031.jpg,mssST_57_v17_031.tif,http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/30/full/full/0/default.jpg,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
mssST15v17,f.12r,"2,27,1720",Journal Entry,Mr Pels,mssST_57_v17_032.jpg,mssST_57_v17_032.tif,http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/31/full/full/0/default.jpg,,,,,,,,,,,,,,,,,
mssST15v17,f.12v,"2,27,1720",Journal Entry,Mr Pels,mssST_57_v17_033.jpg,mssST_57_v17_033.tif,http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/32/full/full/0/default.jpg,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
mssST15v17,f.12v,"3,3,1720",Journal Entry,Mr Warburton,mssST_57_v17_033.jpg,mssST_57_v17_033.tif,http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/32/full/full/0/default.jpg,,,,,,,,,,,,,,,,,
mssST15v17,f.13r,"3,3,1720",Journal Entry,Mr Warburton,mssST_57_v17_034.jpg,mssST_57_v17_034.tif,http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/33/full/full/0/default.jpg,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
mssST15v17,f.13v,n/d,blank page,,mssST_57_v17_035.jpg,mssST_57_v17_035.tif,http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/34/full/full/0/default.jpg,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
mssST15v17,f.14r,"3,4,1720",Journal Entry,"Mr Warburton
""to the same monsiuer""",mssST_57_v17_036.jpg,mssST_57_v17_036.tif,http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/35/full/full/0/default.jpg,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
