Shelfmark,Page Labels,Dates,Types,Slave Voyages Notes,image_filename,iiif_baseimage_url,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
mssST15v18,f.10v,"3,29,1720",Journal Entry,Talbot Clark Barr ,mssST_57_v18_034.jpg,http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/431/full/full/0/default.jpg,,,,,,,,,,,,,,,,,,
mssST15v18,f.11r,"3,29,1720",Journal Entry,Talbot Clark Barr ,mssST_57_v18_035.jpg,http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/432/full/full/0/default.jpg,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
mssST15v18,f.11r,"3,29,1720",Journal Entry,Hungerford Hoskyns,mssST_57_v18_035.jpg,http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/432/full/full/0/default.jpg,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
mssST15v18,f.11r,"3,29,1720",Journal Entry,Pytts,mssST_57_v18_035.jpg,http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/432/full/full/0/default.jpg,,,,,,,,,,,,,,,,,,
mssST15v18,f.11v,"3,29,1720",Journal Entry,Pytts,mssST_57_v18_036.jpg,http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/433/full/full/0/default.jpg,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
mssST15v18,f.11v,"3,29,1720",Journal Entry,Wright,mssST_57_v18_036.jpg,http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/433/full/full/0/default.jpg,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
mssST15v18,f.12r,"3,29,1720",Journal Entry,Matt. Decker,mssST_57_v18_037.jpg,http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/434/full/full/0/default.jpg,,,,,,,,,,,,,,,,,,
mssST15v18,f.12v,"3,29,1720",Journal Entry,Matt. Decker,mssST_57_v18_038.jpg,http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/435/full/full/0/default.jpg,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
mssST15v18,f.13r,"4,15,1720",Journal Entry,Col. Casar,mssST_57_v18_039.jpg,http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/436/full/full/0/default.jpg,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
mssST15v18,f.13r,"4,15,1720",Journal Entry,Woodhouse,mssST_57_v18_039.jpg,http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/436/full/full/0/default.jpg,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
mssST15v18,f.13r,"4,15,1720",Journal Entry,Pels,mssST_57_v18_039.jpg,http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/436/full/full/0/default.jpg,,,,,,,,,,,,,,,,,,
mssST15v18,f.13v,"4,15,1720",Journal Entry,Pels,mssST_57_v18_040.jpg,http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/437/full/full/0/default.jpg,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
mssST15v18,f.13v,"4,16,1720",Journal Entry,Lockman,mssST_57_v18_040.jpg,http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/437/full/full/0/default.jpg,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
mssST15v18,f.14r,"4,16,1720",Journal Entry,Shippen,mssST_57_v18_041.jpg,http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/438/full/full/0/default.jpg,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
mssST15v18,f.14r,"4,16,1720",Journal Entry,Brydges,mssST_57_v18_041.jpg,http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/438/full/full/0/default.jpg,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
mssST15v18,f.14r,"4,16,1720",Journal Entry,Sencourse,mssST_57_v18_041.jpg,http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/438/full/full/0/default.jpg,,,,,,,,,,,,,,,,,,
mssST15v18,f.14v,"4,16,1720",Journal Entry,Sencourse,mssST_57_v18_042.jpg,http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/439/full/full/0/default.jpg,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
