Shelfmark,Page Labels,Dates,Types,Slave Voyages Notes,image_filename,iiif_baseimage_url,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
mssST15v21,f.23v,"9,3,1722",Letter,Mr. Skyr,mssST_57_v21_050.jpg,http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/1273/full/full/0/default.jpg,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
mssST15v21,f.23v,"9,3,1722",Letter,Mr. Westphaling,mssST_57_v21_050.jpg,http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/1273/full/full/0/default.jpg,,,,,,,,,,,,,,,,,,
mssST15v21,f.23r,"9,3,1722",Letter,Mr. Westphaling,mssST_57_v21_051.jpg,http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/1274/full/full/0/default.jpg,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
mssST15v21,f.23r,"9,3,1722",Journal Entry,Major Crosbie,mssST_57_v21_051.jpg,http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/1274/full/full/0/default.jpg,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
mssST15v21,f.23r,"9,3,1722",Letter,Captain Herring,mssST_57_v21_051.jpg,http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/1274/full/full/0/default.jpg,,,,,,,,,,,,,,,,,,
mssST15v21,f.24v,"9,3,1722",Letter,Captain Herring,mssST_57_v21_052.jpg,http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/1275/full/full/0/default.jpg,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
mssST15v21,f.24v,"9,3,1722",Journal Entry,Mr. Clayton,mssST_57_v21_052.jpg,http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/1275/full/full/0/default.jpg,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
mssST15v21,f.24r,"9,8,1722",Letter,Mr. Walter Sencers Knt. ,mssST_57_v21_053.jpg,http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/1276/full/full/0/default.jpg,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
mssST15v21,f.25v,"9,8,1722",Letter,Mr. Hoar,mssST_57_v21_054.jpg,http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/1277/full/full/0/default.jpg,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
mssST15v21,f.25v,"9,8,1722",Letter,Mr. Payne,mssST_57_v21_054.jpg,http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/1277/full/full/0/default.jpg,,,,,,,,,,,,,,,,,,
mssST15v21,f.25r,"9,8,1722",Letter,Mr. Payne,mssST_57_v21_055.jpg,http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/1278/full/full/0/default.jpg,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
mssST15v21,f.25r,"9,8,1722",Journal Entry,Mr. Grosvenor,mssST_57_v21_055.jpg,http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/1278/full/full/0/default.jpg,,,,,,,,,,,,,,,,,,
mssST15v21,f.26v,"9,8,1722",Journal Entry,Mr. Grosvenor,mssST_57_v21_056.jpg,http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/1279/full/full/0/default.jpg,,,,,,,,,,,,,,,,,,
mssST15v21,f.26r,"9,8,1722",Journal Entry,Mr. Grosvenor,mssST_57_v21_057.jpg,http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/1280/full/full/0/default.jpg,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
mssST15v21,f.26r,"9,9,1722",Letter,Captain Barkeley,mssST_57_v21_057.jpg,http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/1280/full/full/0/default.jpg,,,,,,,,,,,,,,,,,,
mssST15v21,f.27v,"9,9,1722",Letter,Captain Barkeley,mssST_57_v21_058.jpg,http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/1281/full/full/0/default.jpg,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
mssST15v21,f.27v,"9,15,1722",Letter,Mr. Hayes,mssST_57_v21_058.jpg,http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/1281/full/full/0/default.jpg,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
mssST15v21,f.27r,"9,15,1722",Journal Entry,Mr. Lockwood,mssST_57_v21_059.jpg,http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/1282/full/full/0/default.jpg,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
mssST15v21,f.28v,"9,15,1722",Journal Entry,Dr. Audson,mssST_57_v21_060.jpg,http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/1283/full/full/0/default.jpg,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
mssST15v21,f.28v,"9,15,1722",Letter,Mr. Peseod,mssST_57_v21_060.jpg,http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/1283/full/full/0/default.jpg,,,,,,,,,,,,,,,,,,
mssST15v21,f.28r,"9,15,1722",Letter,Mr. Peseod,mssST_57_v21_061.jpg,http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/1284/full/full/0/default.jpg,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
mssST15v21,f.28r,"9,15,1722",Letter,Mr. Pere Williams,mssST_57_v21_061.jpg,http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/1284/full/full/0/default.jpg,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
mssST15v21,f.28r,"9,20,1722",Letter,Sir. Probr. Raymond,mssST_57_v21_061.jpg,http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/1284/full/full/0/default.jpg,,,,,,,,,,,,,,,,,,
mssST15v21,f.29v,"9,20,1722",Letter,Sir. Probr. Raymond,mssST_57_v21_061.jpg,http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/1284/full/full/0/default.jpg,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
mssST15v21,f.29v,"9,20,1722",Letter,M. K. Clayton,mssST_57_v21_062.jpg,http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/1285/full/full/0/default.jpg,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
mssST15v21,f.29r,"9,20,1722",Letter,Mr. Sayn ,mssST_57_v21_063.jpg,http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/1286/full/full/0/default.jpg,,,,,,,,,,,,,,,,,,
mssST15v21,f.30v,"9,20,1722",Letter,Mr. Sayn ,mssST_57_v21_064.jpg,http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/1287/full/full/0/default.jpg,,,,,,,,,,,,,,,,,,
mssST15v21,f.30r,"9,20,1722",Letter,Mr. Sayn ,mssST_57_v21_065.jpg,http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/1288/full/full/0/default.jpg,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
mssST15v21,f.30r,"9,20,1722",Journal Entry,Councu. Harrison ,mssST_57_v21_065.jpg,http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/1288/full/full/0/default.jpg,,,,,,,,,,,,,,,,,,
mssST15v21,f.31v,"9,20,1722",Journal Entry,Councu. Harrison ,mssST_57_v21_066.jpg,http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/1289/full/full/0/default.jpg,,,,,,,,,,,,,,,,,,
mssST15v21,f.31r,"9,20,1722",Journal Entry,Councu. Harrison,mssST_57_v21_067.jpg,http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/1290/full/full/0/default.jpg,,,,,,,,,,,,,,,,,,
mssST15v21,f.32v,"9,20,1722",Journal Entry,Councu. Harrison ,mssST_57_v21_068.jpg,http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/1291/full/full/0/default.jpg,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
mssST15v21,f.32r,"9,20,1722",Letter,Mr. Woodhouse,mssST_57_v21_069.jpg,http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/1292/full/full/0/default.jpg,,,,,,,,,,,,,,,,,,
mssST15v21,f.33v,"9,20,1722",Letter,Mr. Woodhouse,mssST_57_v21_070.jpg,http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/1293/full/full/0/default.jpg,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
mssST15v21,f.33v,"9,20,1722",Letter,Mayor Crosbie,mssST_57_v21_070.jpg,http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/1293/full/full/0/default.jpg,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
mssST15v21,f.33r,"9,20,1722",Letter,Du(d)chess of Marlborough ,mssST_57_v21_071.jpg,http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/1294/full/full/0/default.jpg,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
mssST15v21,f.34v,"9,20,1722",Letter,Captain Herring,mssST_57_v21_072.jpg,http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/1295/full/full/0/default.jpg,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
mssST15v21,f.34v,"9,20,1722",Letter,Mr. Ward,mssST_57_v21_072.jpg,http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/1295/full/full/0/default.jpg,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
